Parameter,Value
Param_1,114
Param_2,923
Param_3,233
Param_4,408
Param_5,117
Param_6,721
Param_7,217
Param_8,633
Param_9,238
Param_10,904
Param_11,163
Param_12,534
Param_13,295
Param_14,507
Param_15,428
Param_16,665
Param_17,622
Param_18,363
Param_19,411
Param_20,508
Param_21,878
Param_22,8
Param_23,606
Param_24,569
Param_25,748
Param_26,665
Param_27,146
Param_28,624
Param_29,264
Param_30,373
Param_31,190
Param_32,992
Param_33,211
Param_34,536
Param_35,489
Param_36,660
Param_37,157
Param_38,622
Param_39,705
Param_40,535
Param_41,48
Param_42,868
Param_43,160
Param_44,814
Param_45,716
Param_46,574
Param_47,290
Param_48,974
Param_49,261
Param_50,617
Param_51,401
Param_52,725
Param_53,439
Param_54,252
Param_55,769
Param_56,15
Param_57,878
Param_58,745
Param_59,912
Param_60,891
Param_61,245
Param_62,893
Param_63,907
Param_64,697
Param_65,372
Param_66,185
Param_67,125
Param_68,248
Param_69,185
Param_70,402
Param_71,705
Param_72,157
Param_73,938
Param_74,656
Param_75,316
Param_76,964
Param_77,786
Param_78,500
Param_79,859
Param_80,0
Param_81,967
Param_82,861
Param_83,710
Param_84,810
Param_85,957
Param_86,818
Param_87,179
Param_88,495
Param_89,138
Param_90,101
Param_91,741
Param_92,570
Param_93,812
Param_94,815
Param_95,124
Param_96,383
Param_97,657
Param_98,223
Param_99,380
Param_100,367
