Parameter,Value
Param_1,474
Param_2,331
Param_3,908
Param_4,942
Param_5,843
Param_6,313
Param_7,553
Param_8,383
Param_9,719
Param_10,579
Param_11,622
Param_12,61
Param_13,628
Param_14,42
Param_15,38
Param_16,90
Param_17,124
Param_18,300
Param_19,10
Param_20,756
Param_21,50
Param_22,739
Param_23,914
Param_24,266
Param_25,560
Param_26,703
Param_27,113
Param_28,120
Param_29,809
Param_30,574
Param_31,71
Param_32,372
Param_33,81
Param_34,901
Param_35,117
Param_36,369
Param_37,310
Param_38,991
Param_39,996
Param_40,607
Param_41,747
Param_42,784
Param_43,170
Param_44,546
Param_45,428
Param_46,598
Param_47,503
Param_48,540
Param_49,105
Param_50,930
Param_51,481
Param_52,802
Param_53,304
Param_54,884
Param_55,864
Param_56,346
Param_57,805
Param_58,812
Param_59,832
Param_60,275
Param_61,585
Param_62,275
Param_63,194
Param_64,86
Param_65,525
Param_66,391
Param_67,294
Param_68,81
Param_69,44
Param_70,437
Param_71,500
Param_72,220
Param_73,561
Param_74,937
Param_75,516
Param_76,815
Param_77,661
Param_78,913
Param_79,952
Param_80,612
Param_81,98
Param_82,724
Param_83,5
Param_84,811
Param_85,726
Param_86,698
Param_87,630
Param_88,760
Param_89,933
Param_90,295
Param_91,542
Param_92,612
Param_93,838
Param_94,142
Param_95,679
Param_96,679
Param_97,399
Param_98,419
Param_99,878
Param_100,795
