Site: Andorra_la_Vella
Date: 2025-10-02
Coordinates: 9.165593, -72.576917
Line 1: Temp=24°C, Humidity=66%, Weather=Windy, Battery=86%, Data=Completed
Line 2: Temp=27°C, Humidity=72%, Weather=Windy, Battery=81%, Data=Completed
Line 3: Temp=24°C, Humidity=69%, Weather=Sunny, Battery=87%, Data=Pending
Line 4: Temp=25°C, Humidity=68%, Weather=Windy, Battery=82%, Data=Partial
Line 5: Temp=26°C, Humidity=69%, Weather=Rainy, Battery=87%, Data=Partial
Line 6: Temp=27°C, Humidity=75%, Weather=Sunny, Battery=86%, Data=Completed
Line 7: Temp=28°C, Humidity=73%, Weather=Sunny, Battery=85%, Data=Partial
Line 8: Temp=28°C, Humidity=75%, Weather=Foggy, Battery=94%, Data=Completed
Line 9: Temp=24°C, Humidity=69%, Weather=Cloudy, Battery=82%, Data=Partial
Line 10: Temp=27°C, Humidity=69%, Weather=Foggy, Battery=81%, Data=Completed
Line 11: Temp=25°C, Humidity=73%, Weather=Cloudy, Battery=96%, Data=Pending
Line 12: Temp=27°C, Humidity=75%, Weather=Foggy, Battery=93%, Data=Pending
Line 13: Temp=26°C, Humidity=71%, Weather=Sunny, Battery=96%, Data=Completed
Line 14: Temp=28°C, Humidity=71%, Weather=Windy, Battery=92%, Data=Completed
Line 15: Temp=26°C, Humidity=74%, Weather=Windy, Battery=95%, Data=Completed
Line 16: Temp=25°C, Humidity=74%, Weather=Sunny, Battery=85%, Data=Partial
Line 17: Temp=24°C, Humidity=70%, Weather=Cloudy, Battery=91%, Data=Pending
Line 18: Temp=25°C, Humidity=66%, Weather=Windy, Battery=85%, Data=Partial
Line 19: Temp=25°C, Humidity=75%, Weather=Sunny, Battery=88%, Data=Pending
Line 20: Temp=27°C, Humidity=71%, Weather=Foggy, Battery=83%, Data=Completed
Line 21: Temp=24°C, Humidity=76%, Weather=Cloudy, Battery=81%, Data=Pending
Line 22: Temp=28°C, Humidity=68%, Weather=Cloudy, Battery=97%, Data=Completed
Line 23: Temp=26°C, Humidity=73%, Weather=Sunny, Battery=88%, Data=Partial
Line 24: Temp=25°C, Humidity=67%, Weather=Foggy, Battery=98%, Data=Partial
Line 25: Temp=28°C, Humidity=66%, Weather=Windy, Battery=80%, Data=Partial
Line 26: Temp=25°C, Humidity=70%, Weather=Foggy, Battery=98%, Data=Partial
Line 27: Temp=28°C, Humidity=70%, Weather=Cloudy, Battery=83%, Data=Partial
Line 28: Temp=27°C, Humidity=69%, Weather=Cloudy, Battery=96%, Data=Pending
Line 29: Temp=28°C, Humidity=74%, Weather=Foggy, Battery=92%, Data=Pending
Line 30: Temp=28°C, Humidity=71%, Weather=Foggy, Battery=98%, Data=Completed
Line 31: Temp=28°C, Humidity=69%, Weather=Foggy, Battery=90%, Data=Completed
Line 32: Temp=28°C, Humidity=71%, Weather=Foggy, Battery=87%, Data=Partial
Line 33: Temp=26°C, Humidity=76%, Weather=Foggy, Battery=83%, Data=Partial
Line 34: Temp=24°C, Humidity=75%, Weather=Rainy, Battery=90%, Data=Pending
Line 35: Temp=28°C, Humidity=73%, Weather=Rainy, Battery=98%, Data=Partial
Line 36: Temp=27°C, Humidity=66%, Weather=Foggy, Battery=83%, Data=Partial
Line 37: Temp=28°C, Humidity=66%, Weather=Sunny, Battery=89%, Data=Pending
Line 38: Temp=25°C, Humidity=73%, Weather=Foggy, Battery=94%, Data=Completed
Line 39: Temp=28°C, Humidity=73%, Weather=Sunny, Battery=82%, Data=Pending
Line 40: Temp=24°C, Humidity=72%, Weather=Windy, Battery=100%, Data=Completed
Line 41: Temp=26°C, Humidity=73%, Weather=Sunny, Battery=80%, Data=Completed
