Parameter,Value
Param_1,158
Param_2,438
Param_3,937
Param_4,276
Param_5,785
Param_6,912
Param_7,608
Param_8,553
Param_9,456
Param_10,33
Param_11,733
Param_12,875
Param_13,794
Param_14,911
Param_15,940
Param_16,995
Param_17,613
Param_18,77
Param_19,451
Param_20,16
Param_21,447
Param_22,181
Param_23,504
Param_24,858
Param_25,693
Param_26,401
Param_27,724
Param_28,348
Param_29,323
Param_30,67
Param_31,11
Param_32,964
Param_33,808
Param_34,748
Param_35,986
Param_36,967
Param_37,12
Param_38,594
Param_39,204
Param_40,260
Param_41,751
Param_42,109
Param_43,359
Param_44,851
Param_45,585
Param_46,471
Param_47,469
Param_48,297
Param_49,873
Param_50,939
Param_51,388
Param_52,935
Param_53,494
Param_54,719
Param_55,168
Param_56,803
Param_57,417
Param_58,362
Param_59,92
Param_60,940
Param_61,280
Param_62,686
Param_63,767
Param_64,24
Param_65,180
Param_66,359
Param_67,106
Param_68,50
Param_69,748
Param_70,664
Param_71,577
Param_72,401
Param_73,811
Param_74,937
Param_75,975
Param_76,183
Param_77,52
Param_78,90
Param_79,52
Param_80,366
Param_81,192
Param_82,976
Param_83,64
Param_84,327
Param_85,479
Param_86,209
Param_87,476
Param_88,670
Param_89,551
Param_90,274
Param_91,676
Param_92,270
Param_93,83
Param_94,142
Param_95,750
Param_96,263
Param_97,50
Param_98,88
Param_99,550
Param_100,106
