Site: Avignon
Date: 2025-10-19
Coordinates: -65.626515, 122.45867
Line 1: Temp=27°C, Humidity=78%, Weather=Sunny, Battery=94%, Data=Completed
Line 2: Temp=26°C, Humidity=78%, Weather=Cloudy, Battery=91%, Data=Pending
Line 3: Temp=26°C, Humidity=77%, Weather=Rainy, Battery=89%, Data=Completed
Line 4: Temp=26°C, Humidity=83%, Weather=Rainy, Battery=81%, Data=Pending
Line 5: Temp=30°C, Humidity=77%, Weather=Sunny, Battery=95%, Data=Partial
Line 6: Temp=28°C, Humidity=77%, Weather=Windy, Battery=94%, Data=Completed
Line 7: Temp=29°C, Humidity=79%, Weather=Sunny, Battery=96%, Data=Partial
Line 8: Temp=28°C, Humidity=79%, Weather=Windy, Battery=90%, Data=Partial
Line 9: Temp=26°C, Humidity=81%, Weather=Cloudy, Battery=85%, Data=Pending
Line 10: Temp=27°C, Humidity=79%, Weather=Cloudy, Battery=87%, Data=Pending
Line 11: Temp=28°C, Humidity=73%, Weather=Cloudy, Battery=88%, Data=Partial
Line 12: Temp=28°C, Humidity=83%, Weather=Foggy, Battery=93%, Data=Completed
Line 13: Temp=26°C, Humidity=83%, Weather=Rainy, Battery=87%, Data=Completed
Line 14: Temp=29°C, Humidity=74%, Weather=Windy, Battery=89%, Data=Completed
Line 15: Temp=30°C, Humidity=73%, Weather=Foggy, Battery=99%, Data=Completed
Line 16: Temp=28°C, Humidity=79%, Weather=Windy, Battery=97%, Data=Pending
Line 17: Temp=27°C, Humidity=77%, Weather=Foggy, Battery=81%, Data=Completed
Line 18: Temp=30°C, Humidity=80%, Weather=Rainy, Battery=82%, Data=Completed
Line 19: Temp=26°C, Humidity=73%, Weather=Rainy, Battery=88%, Data=Completed
Line 20: Temp=26°C, Humidity=79%, Weather=Rainy, Battery=80%, Data=Pending
Line 21: Temp=30°C, Humidity=81%, Weather=Rainy, Battery=90%, Data=Pending
Line 22: Temp=27°C, Humidity=73%, Weather=Foggy, Battery=92%, Data=Pending
Line 23: Temp=27°C, Humidity=77%, Weather=Sunny, Battery=99%, Data=Pending
Line 24: Temp=30°C, Humidity=83%, Weather=Cloudy, Battery=83%, Data=Completed
Line 25: Temp=28°C, Humidity=79%, Weather=Sunny, Battery=98%, Data=Completed
Line 26: Temp=28°C, Humidity=77%, Weather=Sunny, Battery=85%, Data=Pending
Line 27: Temp=29°C, Humidity=83%, Weather=Rainy, Battery=98%, Data=Completed
Line 28: Temp=30°C, Humidity=83%, Weather=Windy, Battery=98%, Data=Completed
Line 29: Temp=30°C, Humidity=76%, Weather=Foggy, Battery=83%, Data=Partial
Line 30: Temp=29°C, Humidity=79%, Weather=Rainy, Battery=86%, Data=Completed
Line 31: Temp=30°C, Humidity=83%, Weather=Windy, Battery=96%, Data=Completed
Line 32: Temp=28°C, Humidity=75%, Weather=Rainy, Battery=85%, Data=Partial
Line 33: Temp=28°C, Humidity=74%, Weather=Rainy, Battery=90%, Data=Pending
Line 34: Temp=28°C, Humidity=78%, Weather=Sunny, Battery=88%, Data=Pending
Line 35: Temp=26°C, Humidity=76%, Weather=Foggy, Battery=100%, Data=Completed
Line 36: Temp=27°C, Humidity=82%, Weather=Sunny, Battery=91%, Data=Partial
Line 37: Temp=28°C, Humidity=82%, Weather=Windy, Battery=83%, Data=Completed
Line 38: Temp=30°C, Humidity=77%, Weather=Foggy, Battery=80%, Data=Partial
Line 39: Temp=29°C, Humidity=78%, Weather=Windy, Battery=80%, Data=Pending
Line 40: Temp=29°C, Humidity=76%, Weather=Windy, Battery=86%, Data=Partial
Line 41: Temp=26°C, Humidity=73%, Weather=Windy, Battery=93%, Data=Pending
Line 42: Temp=28°C, Humidity=82%, Weather=Windy, Battery=95%, Data=Completed
Line 43: Temp=26°C, Humidity=77%, Weather=Windy, Battery=82%, Data=Partial
Line 44: Temp=29°C, Humidity=79%, Weather=Rainy, Battery=80%, Data=Completed
Line 45: Temp=26°C, Humidity=82%, Weather=Foggy, Battery=88%, Data=Partial
Line 46: Temp=26°C, Humidity=82%, Weather=Foggy, Battery=81%, Data=Completed
Line 47: Temp=26°C, Humidity=75%, Weather=Cloudy, Battery=94%, Data=Partial
Line 48: Temp=26°C, Humidity=74%, Weather=Foggy, Battery=85%, Data=Completed
Line 49: Temp=27°C, Humidity=81%, Weather=Cloudy, Battery=81%, Data=Pending
Line 50: Temp=30°C, Humidity=78%, Weather=Cloudy, Battery=91%, Data=Completed
Line 51: Temp=27°C, Humidity=81%, Weather=Rainy, Battery=96%, Data=Completed
