Parameter,Value
Param_1,877
Param_2,65
Param_3,600
Param_4,377
Param_5,587
Param_6,165
Param_7,690
Param_8,199
Param_9,435
Param_10,879
Param_11,936
Param_12,906
Param_13,869
Param_14,766
Param_15,607
Param_16,956
Param_17,735
Param_18,937
Param_19,131
Param_20,654
Param_21,773
Param_22,994
Param_23,206
Param_24,837
Param_25,423
Param_26,726
Param_27,200
Param_28,145
Param_29,828
Param_30,88
Param_31,448
Param_32,39
Param_33,372
Param_34,3
Param_35,592
Param_36,996
Param_37,109
Param_38,623
Param_39,897
Param_40,129
Param_41,856
Param_42,928
Param_43,509
Param_44,649
Param_45,552
Param_46,515
Param_47,642
Param_48,673
Param_49,92
Param_50,975
Param_51,109
Param_52,792
Param_53,988
Param_54,535
Param_55,323
Param_56,198
Param_57,675
Param_58,894
Param_59,27
Param_60,293
Param_61,165
Param_62,432
Param_63,444
Param_64,45
Param_65,185
Param_66,944
Param_67,100
Param_68,253
Param_69,113
Param_70,83
Param_71,808
Param_72,437
Param_73,898
Param_74,593
Param_75,127
Param_76,155
Param_77,690
Param_78,360
Param_79,878
Param_80,285
Param_81,978
Param_82,998
Param_83,851
Param_84,758
Param_85,139
Param_86,331
Param_87,814
Param_88,606
Param_89,841
Param_90,328
Param_91,250
Param_92,874
Param_93,793
Param_94,209
Param_95,711
Param_96,618
Param_97,625
Param_98,532
Param_99,603
Param_100,695
