Parameter,Value
Param_1,424
Param_2,641
Param_3,620
Param_4,646
Param_5,450
Param_6,311
Param_7,82
Param_8,830
Param_9,250
Param_10,592
Param_11,882
Param_12,94
Param_13,918
Param_14,974
Param_15,458
Param_16,812
Param_17,382
Param_18,982
Param_19,923
Param_20,969
Param_21,321
Param_22,401
Param_23,588
Param_24,105
Param_25,972
Param_26,556
Param_27,327
Param_28,456
Param_29,509
Param_30,785
Param_31,916
Param_32,332
Param_33,375
Param_34,640
Param_35,771
Param_36,983
Param_37,944
Param_38,766
Param_39,323
Param_40,483
Param_41,519
Param_42,405
Param_43,296
Param_44,132
Param_45,346
Param_46,201
Param_47,392
Param_48,277
Param_49,84
Param_50,843
Param_51,602
Param_52,374
Param_53,375
Param_54,86
Param_55,117
Param_56,713
Param_57,776
Param_58,697
Param_59,408
Param_60,849
Param_61,997
Param_62,319
Param_63,702
Param_64,993
Param_65,98
Param_66,555
Param_67,442
Param_68,864
Param_69,591
Param_70,122
Param_71,573
Param_72,37
Param_73,857
Param_74,697
Param_75,401
Param_76,516
Param_77,562
Param_78,542
Param_79,407
Param_80,90
Param_81,676
Param_82,943
Param_83,456
Param_84,219
Param_85,384
Param_86,593
Param_87,698
Param_88,0
Param_89,750
Param_90,31
Param_91,349
Param_92,648
Param_93,803
Param_94,844
Param_95,608
Param_96,750
Param_97,587
Param_98,484
Param_99,861
Param_100,548
