Parameter,Value
Param_1,66
Param_2,800
Param_3,635
Param_4,518
Param_5,799
Param_6,700
Param_7,124
Param_8,357
Param_9,680
Param_10,622
Param_11,724
Param_12,887
Param_13,311
Param_14,653
Param_15,229
Param_16,925
Param_17,702
Param_18,945
Param_19,228
Param_20,506
Param_21,508
Param_22,947
Param_23,833
Param_24,649
Param_25,161
Param_26,426
Param_27,361
Param_28,662
Param_29,688
Param_30,651
Param_31,105
Param_32,419
Param_33,426
Param_34,306
Param_35,595
Param_36,996
Param_37,472
Param_38,257
Param_39,958
Param_40,386
Param_41,418
Param_42,820
Param_43,622
Param_44,727
Param_45,855
Param_46,582
Param_47,827
Param_48,740
Param_49,799
Param_50,789
Param_51,321
Param_52,325
Param_53,980
Param_54,584
Param_55,68
Param_56,206
Param_57,91
Param_58,974
Param_59,888
Param_60,528
Param_61,263
Param_62,928
Param_63,552
Param_64,983
Param_65,978
Param_66,394
Param_67,918
Param_68,298
Param_69,164
Param_70,365
Param_71,178
Param_72,294
Param_73,573
Param_74,137
Param_75,137
Param_76,665
Param_77,323
Param_78,332
Param_79,451
Param_80,315
Param_81,610
Param_82,871
Param_83,60
Param_84,165
Param_85,619
Param_86,508
Param_87,500
Param_88,418
Param_89,390
Param_90,553
Param_91,846
Param_92,289
Param_93,631
Param_94,571
Param_95,22
Param_96,549
Param_97,414
Param_98,713
Param_99,81
Param_100,880
