Parameter,Value
Param_1,590
Param_2,972
Param_3,552
Param_4,400
Param_5,246
Param_6,175
Param_7,187
Param_8,433
Param_9,349
Param_10,844
Param_11,817
Param_12,174
Param_13,199
Param_14,491
Param_15,506
Param_16,449
Param_17,414
Param_18,813
Param_19,676
Param_20,490
Param_21,31
Param_22,434
Param_23,646
Param_24,786
Param_25,985
Param_26,600
Param_27,82
Param_28,369
Param_29,516
Param_30,261
Param_31,229
Param_32,810
Param_33,716
Param_34,301
Param_35,150
Param_36,953
Param_37,544
Param_38,252
Param_39,261
Param_40,965
Param_41,616
Param_42,291
Param_43,905
Param_44,896
Param_45,103
Param_46,412
Param_47,602
Param_48,798
Param_49,199
Param_50,168
Param_51,939
Param_52,555
Param_53,888
Param_54,850
Param_55,693
Param_56,351
Param_57,318
Param_58,185
Param_59,926
Param_60,253
Param_61,445
Param_62,439
Param_63,621
Param_64,634
Param_65,676
Param_66,559
Param_67,106
Param_68,692
Param_69,688
Param_70,252
Param_71,63
Param_72,396
Param_73,274
Param_74,323
Param_75,125
Param_76,344
Param_77,90
Param_78,523
Param_79,377
Param_80,579
Param_81,305
Param_82,31
Param_83,183
Param_84,150
Param_85,125
Param_86,796
Param_87,817
Param_88,368
Param_89,385
Param_90,414
Param_91,392
Param_92,785
Param_93,421
Param_94,853
Param_95,762
Param_96,272
Param_97,367
Param_98,833
Param_99,377
Param_100,529
