Site: Beijing
Date: 2025-10-27
Coordinates: 71.30084, -109.144208
Line 1: Temp=26°C, Humidity=75%, Weather=Windy, Battery=86%, Data=Pending
Line 2: Temp=28°C, Humidity=72%, Weather=Sunny, Battery=91%, Data=Partial
Line 3: Temp=24°C, Humidity=75%, Weather=Rainy, Battery=82%, Data=Partial
Line 4: Temp=24°C, Humidity=72%, Weather=Cloudy, Battery=92%, Data=Partial
Line 5: Temp=25°C, Humidity=77%, Weather=Foggy, Battery=90%, Data=Pending
Line 6: Temp=27°C, Humidity=78%, Weather=Cloudy, Battery=93%, Data=Pending
Line 7: Temp=27°C, Humidity=72%, Weather=Rainy, Battery=96%, Data=Pending
Line 8: Temp=24°C, Humidity=79%, Weather=Cloudy, Battery=89%, Data=Pending
Line 9: Temp=26°C, Humidity=71%, Weather=Cloudy, Battery=98%, Data=Partial
Line 10: Temp=27°C, Humidity=76%, Weather=Cloudy, Battery=80%, Data=Partial
Line 11: Temp=27°C, Humidity=71%, Weather=Cloudy, Battery=82%, Data=Partial
Line 12: Temp=26°C, Humidity=74%, Weather=Foggy, Battery=86%, Data=Completed
Line 13: Temp=28°C, Humidity=73%, Weather=Cloudy, Battery=91%, Data=Partial
Line 14: Temp=27°C, Humidity=80%, Weather=Rainy, Battery=99%, Data=Completed
Line 15: Temp=28°C, Humidity=78%, Weather=Windy, Battery=98%, Data=Partial
Line 16: Temp=26°C, Humidity=71%, Weather=Sunny, Battery=89%, Data=Partial
Line 17: Temp=26°C, Humidity=77%, Weather=Rainy, Battery=88%, Data=Pending
Line 18: Temp=27°C, Humidity=71%, Weather=Cloudy, Battery=81%, Data=Pending
Line 19: Temp=28°C, Humidity=71%, Weather=Windy, Battery=96%, Data=Pending
Line 20: Temp=25°C, Humidity=77%, Weather=Cloudy, Battery=88%, Data=Completed
Line 21: Temp=28°C, Humidity=73%, Weather=Rainy, Battery=84%, Data=Completed
Line 22: Temp=26°C, Humidity=74%, Weather=Rainy, Battery=95%, Data=Pending
Line 23: Temp=24°C, Humidity=72%, Weather=Foggy, Battery=97%, Data=Partial
Line 24: Temp=28°C, Humidity=81%, Weather=Rainy, Battery=99%, Data=Partial
Line 25: Temp=26°C, Humidity=76%, Weather=Sunny, Battery=97%, Data=Completed
Line 26: Temp=28°C, Humidity=77%, Weather=Sunny, Battery=94%, Data=Pending
Line 27: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=83%, Data=Completed
Line 28: Temp=26°C, Humidity=76%, Weather=Sunny, Battery=93%, Data=Partial
Line 29: Temp=26°C, Humidity=79%, Weather=Rainy, Battery=91%, Data=Pending
Line 30: Temp=25°C, Humidity=73%, Weather=Rainy, Battery=91%, Data=Partial
Line 31: Temp=28°C, Humidity=79%, Weather=Sunny, Battery=97%, Data=Completed
Line 32: Temp=24°C, Humidity=77%, Weather=Sunny, Battery=84%, Data=Completed
Line 33: Temp=26°C, Humidity=73%, Weather=Cloudy, Battery=89%, Data=Completed
Line 34: Temp=25°C, Humidity=77%, Weather=Rainy, Battery=96%, Data=Completed
Line 35: Temp=26°C, Humidity=81%, Weather=Windy, Battery=91%, Data=Pending
Line 36: Temp=25°C, Humidity=74%, Weather=Windy, Battery=89%, Data=Pending
Line 37: Temp=24°C, Humidity=81%, Weather=Sunny, Battery=86%, Data=Partial
Line 38: Temp=26°C, Humidity=72%, Weather=Cloudy, Battery=82%, Data=Completed
Line 39: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=80%, Data=Pending
Line 40: Temp=28°C, Humidity=81%, Weather=Sunny, Battery=81%, Data=Completed
Line 41: Temp=25°C, Humidity=76%, Weather=Foggy, Battery=90%, Data=Pending
Line 42: Temp=27°C, Humidity=77%, Weather=Windy, Battery=82%, Data=Pending
Line 43: Temp=27°C, Humidity=76%, Weather=Rainy, Battery=100%, Data=Completed
Line 44: Temp=25°C, Humidity=77%, Weather=Windy, Battery=99%, Data=Completed
Line 45: Temp=27°C, Humidity=78%, Weather=Cloudy, Battery=97%, Data=Partial
Line 46: Temp=25°C, Humidity=78%, Weather=Rainy, Battery=98%, Data=Partial
Line 47: Temp=26°C, Humidity=73%, Weather=Cloudy, Battery=86%, Data=Partial
Line 48: Temp=24°C, Humidity=79%, Weather=Foggy, Battery=89%, Data=Pending
Line 49: Temp=24°C, Humidity=73%, Weather=Sunny, Battery=96%, Data=Pending
Line 50: Temp=24°C, Humidity=71%, Weather=Cloudy, Battery=94%, Data=Completed
Line 51: Temp=28°C, Humidity=80%, Weather=Foggy, Battery=83%, Data=Pending
