Parameter,Value
Param_1,703
Param_2,564
Param_3,241
Param_4,707
Param_5,476
Param_6,825
Param_7,798
Param_8,904
Param_9,386
Param_10,725
Param_11,594
Param_12,742
Param_13,74
Param_14,66
Param_15,706
Param_16,576
Param_17,892
Param_18,859
Param_19,657
Param_20,458
Param_21,962
Param_22,980
Param_23,650
Param_24,161
Param_25,391
Param_26,521
Param_27,854
Param_28,452
Param_29,282
Param_30,189
Param_31,661
Param_32,321
Param_33,831
Param_34,699
Param_35,801
Param_36,253
Param_37,833
Param_38,323
Param_39,926
Param_40,28
Param_41,26
Param_42,332
Param_43,489
Param_44,903
Param_45,448
Param_46,170
Param_47,166
Param_48,243
Param_49,337
Param_50,816
Param_51,432
Param_52,374
Param_53,184
Param_54,245
Param_55,37
Param_56,453
Param_57,413
Param_58,803
Param_59,217
Param_60,838
Param_61,773
Param_62,425
Param_63,393
Param_64,953
Param_65,716
Param_66,484
Param_67,901
Param_68,844
Param_69,58
Param_70,977
Param_71,398
Param_72,655
Param_73,387
Param_74,230
Param_75,990
Param_76,266
Param_77,57
Param_78,784
Param_79,167
Param_80,80
Param_81,409
Param_82,251
Param_83,450
Param_84,304
Param_85,693
Param_86,717
Param_87,891
Param_88,618
Param_89,895
Param_90,370
Param_91,252
Param_92,47
Param_93,159
Param_94,619
Param_95,541
Param_96,460
Param_97,937
Param_98,332
Param_99,784
Param_100,760
