Parameter,Value
Param_1,847
Param_2,293
Param_3,501
Param_4,679
Param_5,775
Param_6,415
Param_7,402
Param_8,42
Param_9,615
Param_10,400
Param_11,42
Param_12,718
Param_13,678
Param_14,845
Param_15,458
Param_16,902
Param_17,638
Param_18,178
Param_19,452
Param_20,950
Param_21,334
Param_22,952
Param_23,425
Param_24,937
Param_25,996
Param_26,448
Param_27,488
Param_28,695
Param_29,671
Param_30,695
Param_31,730
Param_32,262
Param_33,0
Param_34,83
Param_35,50
Param_36,824
Param_37,298
Param_38,127
Param_39,442
Param_40,701
Param_41,130
Param_42,986
Param_43,457
Param_44,727
Param_45,159
Param_46,240
Param_47,28
Param_48,281
Param_49,728
Param_50,471
Param_51,828
Param_52,412
Param_53,764
Param_54,526
Param_55,54
Param_56,86
Param_57,686
Param_58,547
Param_59,55
Param_60,331
Param_61,143
Param_62,691
Param_63,769
Param_64,326
Param_65,227
Param_66,566
Param_67,108
Param_68,757
Param_69,373
Param_70,692
Param_71,338
Param_72,654
Param_73,159
Param_74,729
Param_75,552
Param_76,271
Param_77,961
Param_78,789
Param_79,189
Param_80,192
Param_81,919
Param_82,815
Param_83,197
Param_84,834
Param_85,387
Param_86,619
Param_87,15
Param_88,208
Param_89,554
Param_90,565
Param_91,842
Param_92,678
Param_93,237
Param_94,529
Param_95,298
Param_96,618
Param_97,626
Param_98,788
Param_99,518
Param_100,909
