Parameter,Value
Param_1,970
Param_2,867
Param_3,717
Param_4,244
Param_5,881
Param_6,789
Param_7,262
Param_8,835
Param_9,247
Param_10,890
Param_11,773
Param_12,216
Param_13,721
Param_14,300
Param_15,519
Param_16,995
Param_17,119
Param_18,150
Param_19,889
Param_20,265
Param_21,455
Param_22,79
Param_23,3
Param_24,519
Param_25,414
Param_26,856
Param_27,414
Param_28,890
Param_29,200
Param_30,628
Param_31,564
Param_32,84
Param_33,707
Param_34,580
Param_35,360
Param_36,551
Param_37,511
Param_38,751
Param_39,650
Param_40,327
Param_41,238
Param_42,288
Param_43,491
Param_44,953
Param_45,120
Param_46,491
Param_47,186
Param_48,62
Param_49,601
Param_50,991
Param_51,382
Param_52,702
Param_53,467
Param_54,780
Param_55,607
Param_56,651
Param_57,261
Param_58,862
Param_59,124
Param_60,24
Param_61,432
Param_62,413
Param_63,924
Param_64,280
Param_65,550
Param_66,597
Param_67,606
Param_68,684
Param_69,932
Param_70,56
Param_71,422
Param_72,202
Param_73,67
Param_74,639
Param_75,77
Param_76,34
Param_77,423
Param_78,369
Param_79,353
Param_80,538
Param_81,481
Param_82,881
Param_83,305
Param_84,797
Param_85,655
Param_86,206
Param_87,485
Param_88,268
Param_89,445
Param_90,943
Param_91,191
Param_92,125
Param_93,105
Param_94,110
Param_95,341
Param_96,840
Param_97,837
Param_98,678
Param_99,569
Param_100,253
