Parameter,Value
Param_1,107
Param_2,900
Param_3,47
Param_4,908
Param_5,594
Param_6,791
Param_7,980
Param_8,818
Param_9,565
Param_10,365
Param_11,466
Param_12,442
Param_13,472
Param_14,319
Param_15,442
Param_16,352
Param_17,497
Param_18,414
Param_19,299
Param_20,503
Param_21,280
Param_22,60
Param_23,855
Param_24,234
Param_25,170
Param_26,156
Param_27,142
Param_28,821
Param_29,209
Param_30,986
Param_31,187
Param_32,589
Param_33,302
Param_34,537
Param_35,989
Param_36,565
Param_37,801
Param_38,826
Param_39,477
Param_40,469
Param_41,733
Param_42,716
Param_43,790
Param_44,540
Param_45,766
Param_46,16
Param_47,751
Param_48,23
Param_49,248
Param_50,969
Param_51,705
Param_52,579
Param_53,748
Param_54,512
Param_55,664
Param_56,871
Param_57,752
Param_58,695
Param_59,594
Param_60,562
Param_61,433
Param_62,336
Param_63,916
Param_64,902
Param_65,848
Param_66,475
Param_67,6
Param_68,155
Param_69,488
Param_70,117
Param_71,447
Param_72,531
Param_73,223
Param_74,52
Param_75,222
Param_76,32
Param_77,201
Param_78,170
Param_79,904
Param_80,725
Param_81,851
Param_82,695
Param_83,947
Param_84,160
Param_85,986
Param_86,844
Param_87,634
Param_88,249
Param_89,528
Param_90,628
Param_91,777
Param_92,778
Param_93,636
Param_94,836
Param_95,16
Param_96,393
Param_97,836
Param_98,586
Param_99,228
Param_100,786
