Parameter,Value
Param_1,86
Param_2,920
Param_3,838
Param_4,145
Param_5,643
Param_6,828
Param_7,519
Param_8,720
Param_9,668
Param_10,155
Param_11,3
Param_12,855
Param_13,383
Param_14,658
Param_15,477
Param_16,15
Param_17,233
Param_18,14
Param_19,255
Param_20,623
Param_21,654
Param_22,397
Param_23,299
Param_24,494
Param_25,820
Param_26,106
Param_27,574
Param_28,872
Param_29,81
Param_30,358
Param_31,452
Param_32,365
Param_33,813
Param_34,109
Param_35,755
Param_36,78
Param_37,503
Param_38,773
Param_39,152
Param_40,842
Param_41,302
Param_42,946
Param_43,610
Param_44,177
Param_45,798
Param_46,418
Param_47,829
Param_48,357
Param_49,511
Param_50,18
Param_51,286
Param_52,355
Param_53,180
Param_54,878
Param_55,114
Param_56,740
Param_57,222
Param_58,98
Param_59,842
Param_60,673
Param_61,529
Param_62,448
Param_63,673
Param_64,205
Param_65,72
Param_66,679
Param_67,142
Param_68,47
Param_69,298
Param_70,165
Param_71,925
Param_72,161
Param_73,726
Param_74,922
Param_75,330
Param_76,90
Param_77,720
Param_78,816
Param_79,169
Param_80,742
Param_81,57
Param_82,623
Param_83,505
Param_84,775
Param_85,301
Param_86,439
Param_87,602
Param_88,766
Param_89,171
Param_90,843
Param_91,796
Param_92,618
Param_93,46
Param_94,599
Param_95,873
Param_96,483
Param_97,306
Param_98,576
Param_99,381
Param_100,760
