Parameter,Value
Param_1,945
Param_2,941
Param_3,500
Param_4,126
Param_5,71
Param_6,705
Param_7,132
Param_8,350
Param_9,216
Param_10,877
Param_11,263
Param_12,556
Param_13,511
Param_14,633
Param_15,337
Param_16,812
Param_17,27
Param_18,915
Param_19,188
Param_20,531
Param_21,639
Param_22,153
Param_23,604
Param_24,695
Param_25,259
Param_26,945
Param_27,350
Param_28,401
Param_29,136
Param_30,453
Param_31,710
Param_32,912
Param_33,547
Param_34,366
Param_35,600
Param_36,458
Param_37,403
Param_38,494
Param_39,313
Param_40,507
Param_41,84
Param_42,877
Param_43,889
Param_44,140
Param_45,247
Param_46,953
Param_47,505
Param_48,763
Param_49,100
Param_50,246
Param_51,295
Param_52,833
Param_53,154
Param_54,274
Param_55,887
Param_56,476
Param_57,179
Param_58,266
Param_59,664
Param_60,686
Param_61,713
Param_62,745
Param_63,181
Param_64,879
Param_65,52
Param_66,997
Param_67,636
Param_68,468
Param_69,1
Param_70,129
Param_71,209
Param_72,74
Param_73,299
Param_74,714
Param_75,990
Param_76,596
Param_77,354
Param_78,462
Param_79,232
Param_80,783
Param_81,936
Param_82,806
Param_83,781
Param_84,211
Param_85,711
Param_86,419
Param_87,88
Param_88,409
Param_89,621
Param_90,966
Param_91,202
Param_92,825
Param_93,895
Param_94,260
Param_95,700
Param_96,105
Param_97,55
Param_98,9
Param_99,832
Param_100,397
