Parameter,Value
Param_1,944
Param_2,773
Param_3,170
Param_4,114
Param_5,735
Param_6,122
Param_7,99
Param_8,215
Param_9,124
Param_10,338
Param_11,811
Param_12,783
Param_13,274
Param_14,972
Param_15,914
Param_16,520
Param_17,84
Param_18,665
Param_19,320
Param_20,865
Param_21,652
Param_22,464
Param_23,119
Param_24,917
Param_25,202
Param_26,587
Param_27,135
Param_28,117
Param_29,493
Param_30,602
Param_31,926
Param_32,489
Param_33,47
Param_34,495
Param_35,604
Param_36,523
Param_37,0
Param_38,263
Param_39,622
Param_40,638
Param_41,969
Param_42,77
Param_43,69
Param_44,963
Param_45,87
Param_46,209
Param_47,685
Param_48,979
Param_49,373
Param_50,116
Param_51,715
Param_52,972
Param_53,482
Param_54,901
Param_55,200
Param_56,794
Param_57,315
Param_58,733
Param_59,528
Param_60,403
Param_61,5
Param_62,293
Param_63,267
Param_64,808
Param_65,649
Param_66,694
Param_67,655
Param_68,845
Param_69,107
Param_70,944
Param_71,453
Param_72,604
Param_73,371
Param_74,574
Param_75,453
Param_76,853
Param_77,872
Param_78,353
Param_79,434
Param_80,258
Param_81,726
Param_82,53
Param_83,812
Param_84,634
Param_85,132
Param_86,758
Param_87,613
Param_88,211
Param_89,565
Param_90,326
Param_91,285
Param_92,160
Param_93,674
Param_94,626
Param_95,651
Param_96,906
Param_97,217
Param_98,790
Param_99,173
Param_100,56
