Parameter,Value
Param_1,779
Param_2,623
Param_3,638
Param_4,136
Param_5,150
Param_6,406
Param_7,780
Param_8,631
Param_9,320
Param_10,980
Param_11,203
Param_12,658
Param_13,257
Param_14,626
Param_15,45
Param_16,905
Param_17,480
Param_18,619
Param_19,322
Param_20,850
Param_21,758
Param_22,198
Param_23,463
Param_24,442
Param_25,730
Param_26,396
Param_27,905
Param_28,922
Param_29,676
Param_30,658
Param_31,936
Param_32,872
Param_33,33
Param_34,249
Param_35,103
Param_36,309
Param_37,764
Param_38,803
Param_39,845
Param_40,184
Param_41,634
Param_42,766
Param_43,646
Param_44,128
Param_45,667
Param_46,404
Param_47,91
Param_48,52
Param_49,582
Param_50,48
Param_51,415
Param_52,937
Param_53,562
Param_54,256
Param_55,527
Param_56,26
Param_57,229
Param_58,249
Param_59,882
Param_60,139
Param_61,10
Param_62,453
Param_63,641
Param_64,371
Param_65,472
Param_66,588
Param_67,517
Param_68,282
Param_69,42
Param_70,960
Param_71,660
Param_72,348
Param_73,843
Param_74,113
Param_75,448
Param_76,704
Param_77,689
Param_78,827
Param_79,291
Param_80,170
Param_81,152
Param_82,186
Param_83,649
Param_84,739
Param_85,679
Param_86,182
Param_87,390
Param_88,360
Param_89,428
Param_90,297
Param_91,478
Param_92,718
Param_93,376
Param_94,738
Param_95,644
Param_96,404
Param_97,878
Param_98,322
Param_99,355
Param_100,572
