Parameter,Value
Param_1,520
Param_2,175
Param_3,119
Param_4,686
Param_5,432
Param_6,182
Param_7,158
Param_8,53
Param_9,595
Param_10,153
Param_11,526
Param_12,754
Param_13,220
Param_14,972
Param_15,78
Param_16,821
Param_17,592
Param_18,677
Param_19,394
Param_20,65
Param_21,966
Param_22,188
Param_23,700
Param_24,790
Param_25,185
Param_26,494
Param_27,472
Param_28,301
Param_29,989
Param_30,652
Param_31,356
Param_32,288
Param_33,22
Param_34,555
Param_35,49
Param_36,866
Param_37,671
Param_38,93
Param_39,564
Param_40,652
Param_41,145
Param_42,271
Param_43,275
Param_44,623
Param_45,701
Param_46,714
Param_47,606
Param_48,608
Param_49,140
Param_50,505
Param_51,677
Param_52,444
Param_53,996
Param_54,695
Param_55,343
Param_56,839
Param_57,993
Param_58,947
Param_59,311
Param_60,565
Param_61,809
Param_62,158
Param_63,430
Param_64,291
Param_65,547
Param_66,740
Param_67,353
Param_68,860
Param_69,613
Param_70,207
Param_71,502
Param_72,631
Param_73,268
Param_74,4
Param_75,602
Param_76,820
Param_77,597
Param_78,98
Param_79,333
Param_80,921
Param_81,308
Param_82,739
Param_83,63
Param_84,802
Param_85,77
Param_86,398
Param_87,478
Param_88,734
Param_89,697
Param_90,359
Param_91,742
Param_92,701
Param_93,378
Param_94,146
Param_95,207
Param_96,211
Param_97,246
Param_98,192
Param_99,76
Param_100,614
