Parameter,Value
Param_1,610
Param_2,179
Param_3,502
Param_4,487
Param_5,961
Param_6,383
Param_7,890
Param_8,542
Param_9,320
Param_10,150
Param_11,656
Param_12,33
Param_13,187
Param_14,6
Param_15,167
Param_16,295
Param_17,683
Param_18,719
Param_19,218
Param_20,56
Param_21,402
Param_22,987
Param_23,993
Param_24,411
Param_25,957
Param_26,565
Param_27,669
Param_28,568
Param_29,178
Param_30,697
Param_31,958
Param_32,553
Param_33,856
Param_34,500
Param_35,317
Param_36,401
Param_37,832
Param_38,595
Param_39,573
Param_40,238
Param_41,778
Param_42,268
Param_43,452
Param_44,679
Param_45,656
Param_46,531
Param_47,137
Param_48,649
Param_49,204
Param_50,760
Param_51,837
Param_52,672
Param_53,279
Param_54,624
Param_55,140
Param_56,474
Param_57,672
Param_58,125
Param_59,620
Param_60,677
Param_61,801
Param_62,211
Param_63,24
Param_64,256
Param_65,395
Param_66,734
Param_67,67
Param_68,409
Param_69,100
Param_70,841
Param_71,626
Param_72,108
Param_73,559
Param_74,47
Param_75,493
Param_76,670
Param_77,497
Param_78,333
Param_79,202
Param_80,968
Param_81,947
Param_82,397
Param_83,82
Param_84,934
Param_85,544
Param_86,892
Param_87,586
Param_88,573
Param_89,144
Param_90,369
Param_91,158
Param_92,18
Param_93,532
Param_94,17
Param_95,977
Param_96,602
Param_97,479
Param_98,629
Param_99,701
Param_100,989
