Parameter,Value
Param_1,48
Param_2,935
Param_3,145
Param_4,887
Param_5,876
Param_6,151
Param_7,388
Param_8,209
Param_9,782
Param_10,431
Param_11,929
Param_12,627
Param_13,624
Param_14,907
Param_15,272
Param_16,411
Param_17,37
Param_18,427
Param_19,564
Param_20,955
Param_21,994
Param_22,134
Param_23,637
Param_24,646
Param_25,408
Param_26,712
Param_27,954
Param_28,987
Param_29,645
Param_30,672
Param_31,400
Param_32,625
Param_33,79
Param_34,571
Param_35,776
Param_36,919
Param_37,333
Param_38,84
Param_39,821
Param_40,970
Param_41,656
Param_42,610
Param_43,354
Param_44,926
Param_45,618
Param_46,700
Param_47,107
Param_48,50
Param_49,330
Param_50,857
Param_51,278
Param_52,409
Param_53,776
Param_54,674
Param_55,907
Param_56,148
Param_57,97
Param_58,565
Param_59,192
Param_60,965
Param_61,51
Param_62,49
Param_63,134
Param_64,716
Param_65,921
Param_66,981
Param_67,986
Param_68,105
Param_69,475
Param_70,96
Param_71,515
Param_72,286
Param_73,139
Param_74,919
Param_75,333
Param_76,859
Param_77,575
Param_78,735
Param_79,624
Param_80,882
Param_81,851
Param_82,849
Param_83,255
Param_84,559
Param_85,331
Param_86,934
Param_87,25
Param_88,414
Param_89,815
Param_90,754
Param_91,232
Param_92,626
Param_93,742
Param_94,661
Param_95,944
Param_96,913
Param_97,229
Param_98,60
Param_99,757
Param_100,288
