Parameter,Value
Param_1,435
Param_2,475
Param_3,382
Param_4,75
Param_5,456
Param_6,679
Param_7,208
Param_8,80
Param_9,726
Param_10,459
Param_11,111
Param_12,434
Param_13,470
Param_14,486
Param_15,597
Param_16,394
Param_17,775
Param_18,727
Param_19,304
Param_20,427
Param_21,526
Param_22,511
Param_23,643
Param_24,780
Param_25,982
Param_26,138
Param_27,463
Param_28,308
Param_29,201
Param_30,682
Param_31,269
Param_32,951
Param_33,714
Param_34,74
Param_35,695
Param_36,904
Param_37,824
Param_38,667
Param_39,939
Param_40,625
Param_41,686
Param_42,36
Param_43,737
Param_44,622
Param_45,268
Param_46,560
Param_47,681
Param_48,270
Param_49,262
Param_50,195
Param_51,808
Param_52,125
Param_53,987
Param_54,862
Param_55,258
Param_56,946
Param_57,759
Param_58,429
Param_59,12
Param_60,866
Param_61,923
Param_62,727
Param_63,624
Param_64,519
Param_65,61
Param_66,793
Param_67,883
Param_68,514
Param_69,302
Param_70,797
Param_71,34
Param_72,984
Param_73,663
Param_74,609
Param_75,880
Param_76,23
Param_77,714
Param_78,154
Param_79,176
Param_80,641
Param_81,578
Param_82,829
Param_83,168
Param_84,223
Param_85,775
Param_86,505
Param_87,119
Param_88,388
Param_89,967
Param_90,67
Param_91,388
Param_92,432
Param_93,683
Param_94,262
Param_95,926
Param_96,857
Param_97,753
Param_98,926
Param_99,219
Param_100,596
