Site: Debrecen
Date: 2025-10-06
Coordinates: 44.393219, 47.838522
Line 1: Temp=25°C, Humidity=70%, Weather=Sunny, Battery=88%, Data=Partial
Line 2: Temp=24°C, Humidity=71%, Weather=Foggy, Battery=85%, Data=Completed
Line 3: Temp=27°C, Humidity=77%, Weather=Sunny, Battery=82%, Data=Pending
Line 4: Temp=24°C, Humidity=78%, Weather=Sunny, Battery=86%, Data=Partial
Line 5: Temp=26°C, Humidity=78%, Weather=Windy, Battery=84%, Data=Partial
Line 6: Temp=26°C, Humidity=76%, Weather=Sunny, Battery=83%, Data=Partial
Line 7: Temp=24°C, Humidity=80%, Weather=Rainy, Battery=84%, Data=Pending
Line 8: Temp=26°C, Humidity=77%, Weather=Foggy, Battery=89%, Data=Partial
Line 9: Temp=24°C, Humidity=75%, Weather=Windy, Battery=86%, Data=Pending
Line 10: Temp=25°C, Humidity=80%, Weather=Foggy, Battery=99%, Data=Pending
Line 11: Temp=24°C, Humidity=70%, Weather=Sunny, Battery=96%, Data=Completed
Line 12: Temp=23°C, Humidity=72%, Weather=Sunny, Battery=89%, Data=Partial
Line 13: Temp=25°C, Humidity=77%, Weather=Sunny, Battery=80%, Data=Pending
Line 14: Temp=27°C, Humidity=77%, Weather=Cloudy, Battery=81%, Data=Pending
Line 15: Temp=27°C, Humidity=79%, Weather=Cloudy, Battery=81%, Data=Partial
Line 16: Temp=27°C, Humidity=70%, Weather=Sunny, Battery=91%, Data=Partial
Line 17: Temp=26°C, Humidity=74%, Weather=Foggy, Battery=96%, Data=Completed
Line 18: Temp=23°C, Humidity=72%, Weather=Foggy, Battery=93%, Data=Completed
Line 19: Temp=23°C, Humidity=74%, Weather=Sunny, Battery=85%, Data=Completed
Line 20: Temp=23°C, Humidity=75%, Weather=Sunny, Battery=83%, Data=Partial
Line 21: Temp=25°C, Humidity=78%, Weather=Windy, Battery=92%, Data=Completed
Line 22: Temp=24°C, Humidity=78%, Weather=Windy, Battery=90%, Data=Pending
Line 23: Temp=25°C, Humidity=79%, Weather=Cloudy, Battery=90%, Data=Completed
Line 24: Temp=23°C, Humidity=71%, Weather=Rainy, Battery=93%, Data=Partial
Line 25: Temp=24°C, Humidity=77%, Weather=Cloudy, Battery=81%, Data=Completed
Line 26: Temp=25°C, Humidity=77%, Weather=Foggy, Battery=82%, Data=Pending
Line 27: Temp=26°C, Humidity=72%, Weather=Rainy, Battery=99%, Data=Pending
Line 28: Temp=23°C, Humidity=71%, Weather=Foggy, Battery=100%, Data=Pending
Line 29: Temp=23°C, Humidity=73%, Weather=Windy, Battery=89%, Data=Partial
Line 30: Temp=24°C, Humidity=70%, Weather=Rainy, Battery=92%, Data=Pending
Line 31: Temp=25°C, Humidity=76%, Weather=Rainy, Battery=85%, Data=Pending
Line 32: Temp=24°C, Humidity=76%, Weather=Windy, Battery=97%, Data=Completed
Line 33: Temp=23°C, Humidity=74%, Weather=Foggy, Battery=86%, Data=Pending
Line 34: Temp=26°C, Humidity=71%, Weather=Foggy, Battery=94%, Data=Pending
Line 35: Temp=27°C, Humidity=71%, Weather=Rainy, Battery=82%, Data=Partial
Line 36: Temp=27°C, Humidity=74%, Weather=Windy, Battery=97%, Data=Partial
Line 37: Temp=26°C, Humidity=74%, Weather=Rainy, Battery=86%, Data=Partial
Line 38: Temp=25°C, Humidity=77%, Weather=Rainy, Battery=86%, Data=Partial
Line 39: Temp=23°C, Humidity=76%, Weather=Sunny, Battery=86%, Data=Completed
Line 40: Temp=26°C, Humidity=79%, Weather=Windy, Battery=84%, Data=Pending
Line 41: Temp=27°C, Humidity=75%, Weather=Foggy, Battery=82%, Data=Completed
Line 42: Temp=26°C, Humidity=74%, Weather=Rainy, Battery=82%, Data=Completed
Line 43: Temp=24°C, Humidity=72%, Weather=Windy, Battery=84%, Data=Completed
Line 44: Temp=26°C, Humidity=77%, Weather=Windy, Battery=96%, Data=Pending
Line 45: Temp=27°C, Humidity=71%, Weather=Cloudy, Battery=89%, Data=Completed
Line 46: Temp=23°C, Humidity=79%, Weather=Sunny, Battery=80%, Data=Completed
Line 47: Temp=24°C, Humidity=78%, Weather=Rainy, Battery=85%, Data=Pending
Line 48: Temp=23°C, Humidity=78%, Weather=Foggy, Battery=96%, Data=Pending
Line 49: Temp=27°C, Humidity=76%, Weather=Rainy, Battery=90%, Data=Pending
Line 50: Temp=23°C, Humidity=79%, Weather=Rainy, Battery=84%, Data=Completed
Line 51: Temp=24°C, Humidity=75%, Weather=Cloudy, Battery=81%, Data=Pending
Line 52: Temp=24°C, Humidity=80%, Weather=Rainy, Battery=86%, Data=Completed
Line 53: Temp=23°C, Humidity=76%, Weather=Windy, Battery=91%, Data=Partial
Line 54: Temp=26°C, Humidity=80%, Weather=Foggy, Battery=85%, Data=Pending
Line 55: Temp=26°C, Humidity=78%, Weather=Windy, Battery=100%, Data=Pending
Line 56: Temp=27°C, Humidity=75%, Weather=Windy, Battery=94%, Data=Completed
Line 57: Temp=23°C, Humidity=71%, Weather=Rainy, Battery=93%, Data=Pending
Line 58: Temp=24°C, Humidity=70%, Weather=Sunny, Battery=95%, Data=Completed
Line 59: Temp=23°C, Humidity=74%, Weather=Sunny, Battery=85%, Data=Partial
Line 60: Temp=23°C, Humidity=73%, Weather=Rainy, Battery=94%, Data=Partial
