Parameter,Value
Param_1,212
Param_2,79
Param_3,346
Param_4,882
Param_5,68
Param_6,112
Param_7,154
Param_8,546
Param_9,769
Param_10,765
Param_11,679
Param_12,35
Param_13,268
Param_14,492
Param_15,552
Param_16,354
Param_17,247
Param_18,800
Param_19,936
Param_20,813
Param_21,215
Param_22,486
Param_23,954
Param_24,731
Param_25,934
Param_26,652
Param_27,691
Param_28,418
Param_29,69
Param_30,603
Param_31,545
Param_32,302
Param_33,753
Param_34,856
Param_35,953
Param_36,953
Param_37,20
Param_38,514
Param_39,815
Param_40,692
Param_41,494
Param_42,260
Param_43,805
Param_44,895
Param_45,80
Param_46,705
Param_47,596
Param_48,186
Param_49,651
Param_50,471
Param_51,329
Param_52,387
Param_53,783
Param_54,494
Param_55,680
Param_56,922
Param_57,815
Param_58,518
Param_59,336
Param_60,574
Param_61,144
Param_62,282
Param_63,43
Param_64,202
Param_65,350
Param_66,997
Param_67,859
Param_68,603
Param_69,257
Param_70,141
Param_71,697
Param_72,595
Param_73,199
Param_74,665
Param_75,582
Param_76,626
Param_77,307
Param_78,171
Param_79,74
Param_80,781
Param_81,893
Param_82,847
Param_83,481
Param_84,222
Param_85,426
Param_86,858
Param_87,237
Param_88,169
Param_89,618
Param_90,442
Param_91,268
Param_92,919
Param_93,379
Param_94,952
Param_95,789
Param_96,993
Param_97,491
Param_98,154
Param_99,479
Param_100,568
