Parameter,Value
Param_1,340
Param_2,265
Param_3,398
Param_4,872
Param_5,757
Param_6,374
Param_7,568
Param_8,429
Param_9,834
Param_10,860
Param_11,408
Param_12,918
Param_13,285
Param_14,323
Param_15,508
Param_16,9
Param_17,772
Param_18,367
Param_19,513
Param_20,957
Param_21,882
Param_22,422
Param_23,654
Param_24,45
Param_25,362
Param_26,247
Param_27,269
Param_28,613
Param_29,848
Param_30,463
Param_31,97
Param_32,221
Param_33,886
Param_34,801
Param_35,944
Param_36,50
Param_37,191
Param_38,705
Param_39,599
Param_40,810
Param_41,758
Param_42,499
Param_43,582
Param_44,120
Param_45,554
Param_46,271
Param_47,409
Param_48,83
Param_49,222
Param_50,43
Param_51,295
Param_52,808
Param_53,29
Param_54,285
Param_55,276
Param_56,582
Param_57,625
Param_58,425
Param_59,278
Param_60,194
Param_61,859
Param_62,91
Param_63,229
Param_64,777
Param_65,26
Param_66,618
Param_67,885
Param_68,485
Param_69,550
Param_70,475
Param_71,623
Param_72,419
Param_73,855
Param_74,671
Param_75,59
Param_76,721
Param_77,592
Param_78,26
Param_79,683
Param_80,523
Param_81,62
Param_82,322
Param_83,417
Param_84,62
Param_85,27
Param_86,216
Param_87,559
Param_88,587
Param_89,743
Param_90,8
Param_91,135
Param_92,794
Param_93,533
Param_94,679
Param_95,955
Param_96,944
Param_97,283
Param_98,262
Param_99,821
Param_100,403
