Parameter,Value
Param_1,257
Param_2,956
Param_3,963
Param_4,952
Param_5,575
Param_6,484
Param_7,67
Param_8,524
Param_9,202
Param_10,413
Param_11,251
Param_12,924
Param_13,800
Param_14,151
Param_15,915
Param_16,514
Param_17,356
Param_18,834
Param_19,990
Param_20,314
Param_21,378
Param_22,86
Param_23,107
Param_24,600
Param_25,746
Param_26,282
Param_27,391
Param_28,42
Param_29,159
Param_30,158
Param_31,902
Param_32,165
Param_33,312
Param_34,96
Param_35,256
Param_36,737
Param_37,225
Param_38,511
Param_39,25
Param_40,669
Param_41,626
Param_42,348
Param_43,715
Param_44,291
Param_45,42
Param_46,486
Param_47,141
Param_48,393
Param_49,844
Param_50,85
Param_51,816
Param_52,950
Param_53,246
Param_54,49
Param_55,88
Param_56,614
Param_57,558
Param_58,523
Param_59,334
Param_60,751
Param_61,540
Param_62,125
Param_63,740
Param_64,94
Param_65,877
Param_66,623
Param_67,280
Param_68,775
Param_69,145
Param_70,417
Param_71,206
Param_72,311
Param_73,208
Param_74,774
Param_75,538
Param_76,307
Param_77,940
Param_78,397
Param_79,401
Param_80,584
Param_81,121
Param_82,7
Param_83,319
Param_84,216
Param_85,878
Param_86,428
Param_87,936
Param_88,93
Param_89,168
Param_90,415
Param_91,36
Param_92,485
Param_93,714
Param_94,543
Param_95,860
Param_96,886
Param_97,403
Param_98,403
Param_99,550
Param_100,580
