Parameter,Value
Param_1,43
Param_2,794
Param_3,821
Param_4,902
Param_5,32
Param_6,445
Param_7,53
Param_8,101
Param_9,602
Param_10,105
Param_11,627
Param_12,177
Param_13,350
Param_14,756
Param_15,110
Param_16,27
Param_17,141
Param_18,952
Param_19,554
Param_20,282
Param_21,17
Param_22,301
Param_23,994
Param_24,803
Param_25,105
Param_26,43
Param_27,725
Param_28,167
Param_29,581
Param_30,163
Param_31,631
Param_32,26
Param_33,260
Param_34,933
Param_35,381
Param_36,517
Param_37,136
Param_38,489
Param_39,521
Param_40,588
Param_41,345
Param_42,248
Param_43,212
Param_44,768
Param_45,77
Param_46,569
Param_47,517
Param_48,715
Param_49,880
Param_50,47
Param_51,5
Param_52,382
Param_53,612
Param_54,611
Param_55,782
Param_56,255
Param_57,897
Param_58,261
Param_59,848
Param_60,115
Param_61,277
Param_62,465
Param_63,108
Param_64,481
Param_65,585
Param_66,376
Param_67,638
Param_68,666
Param_69,222
Param_70,991
Param_71,603
Param_72,309
Param_73,521
Param_74,666
Param_75,13
Param_76,916
Param_77,86
Param_78,292
Param_79,193
Param_80,796
Param_81,472
Param_82,200
Param_83,316
Param_84,348
Param_85,652
Param_86,786
Param_87,150
Param_88,733
Param_89,235
Param_90,83
Param_91,788
Param_92,305
Param_93,598
Param_94,229
Param_95,374
Param_96,844
Param_97,114
Param_98,162
Param_99,186
Param_100,71
