Site: Edinburgh
Date: 2025-10-02
Coordinates: -48.096963, -114.877612
Line 1: Temp=25°C, Humidity=72%, Weather=Foggy, Battery=84%, Data=Pending
Line 2: Temp=26°C, Humidity=72%, Weather=Cloudy, Battery=84%, Data=Pending
Line 3: Temp=27°C, Humidity=67%, Weather=Rainy, Battery=88%, Data=Completed
Line 4: Temp=25°C, Humidity=67%, Weather=Windy, Battery=93%, Data=Pending
Line 5: Temp=24°C, Humidity=72%, Weather=Cloudy, Battery=91%, Data=Pending
Line 6: Temp=25°C, Humidity=74%, Weather=Cloudy, Battery=80%, Data=Partial
Line 7: Temp=26°C, Humidity=67%, Weather=Cloudy, Battery=90%, Data=Partial
Line 8: Temp=25°C, Humidity=70%, Weather=Rainy, Battery=90%, Data=Partial
Line 9: Temp=27°C, Humidity=75%, Weather=Cloudy, Battery=89%, Data=Partial
Line 10: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=89%, Data=Completed
Line 11: Temp=26°C, Humidity=68%, Weather=Windy, Battery=93%, Data=Pending
Line 12: Temp=24°C, Humidity=75%, Weather=Foggy, Battery=99%, Data=Pending
Line 13: Temp=26°C, Humidity=71%, Weather=Rainy, Battery=82%, Data=Pending
Line 14: Temp=28°C, Humidity=68%, Weather=Sunny, Battery=97%, Data=Partial
Line 15: Temp=26°C, Humidity=74%, Weather=Rainy, Battery=91%, Data=Pending
Line 16: Temp=28°C, Humidity=72%, Weather=Windy, Battery=83%, Data=Completed
Line 17: Temp=25°C, Humidity=73%, Weather=Rainy, Battery=82%, Data=Completed
Line 18: Temp=26°C, Humidity=69%, Weather=Windy, Battery=100%, Data=Completed
Line 19: Temp=26°C, Humidity=68%, Weather=Rainy, Battery=96%, Data=Pending
Line 20: Temp=27°C, Humidity=66%, Weather=Cloudy, Battery=97%, Data=Completed
Line 21: Temp=25°C, Humidity=72%, Weather=Sunny, Battery=92%, Data=Pending
Line 22: Temp=24°C, Humidity=70%, Weather=Cloudy, Battery=97%, Data=Pending
Line 23: Temp=28°C, Humidity=74%, Weather=Rainy, Battery=98%, Data=Completed
Line 24: Temp=26°C, Humidity=67%, Weather=Sunny, Battery=96%, Data=Partial
Line 25: Temp=27°C, Humidity=73%, Weather=Cloudy, Battery=80%, Data=Pending
Line 26: Temp=25°C, Humidity=69%, Weather=Rainy, Battery=83%, Data=Completed
Line 27: Temp=24°C, Humidity=73%, Weather=Foggy, Battery=91%, Data=Partial
Line 28: Temp=28°C, Humidity=73%, Weather=Foggy, Battery=92%, Data=Completed
Line 29: Temp=27°C, Humidity=76%, Weather=Sunny, Battery=85%, Data=Completed
Line 30: Temp=25°C, Humidity=75%, Weather=Windy, Battery=94%, Data=Partial
Line 31: Temp=24°C, Humidity=67%, Weather=Windy, Battery=84%, Data=Pending
Line 32: Temp=26°C, Humidity=66%, Weather=Sunny, Battery=90%, Data=Completed
Line 33: Temp=25°C, Humidity=68%, Weather=Sunny, Battery=84%, Data=Pending
Line 34: Temp=24°C, Humidity=68%, Weather=Foggy, Battery=81%, Data=Pending
