Parameter,Value
Param_1,363
Param_2,153
Param_3,396
Param_4,364
Param_5,397
Param_6,559
Param_7,537
Param_8,726
Param_9,805
Param_10,635
Param_11,636
Param_12,43
Param_13,11
Param_14,859
Param_15,507
Param_16,503
Param_17,693
Param_18,929
Param_19,737
Param_20,632
Param_21,107
Param_22,527
Param_23,791
Param_24,625
Param_25,456
Param_26,886
Param_27,704
Param_28,443
Param_29,515
Param_30,474
Param_31,830
Param_32,870
Param_33,508
Param_34,763
Param_35,355
Param_36,963
Param_37,689
Param_38,647
Param_39,485
Param_40,99
Param_41,338
Param_42,410
Param_43,626
Param_44,976
Param_45,243
Param_46,68
Param_47,317
Param_48,200
Param_49,502
Param_50,934
Param_51,455
Param_52,770
Param_53,674
Param_54,483
Param_55,122
Param_56,184
Param_57,429
Param_58,894
Param_59,303
Param_60,108
Param_61,217
Param_62,64
Param_63,771
Param_64,273
Param_65,973
Param_66,738
Param_67,87
Param_68,428
Param_69,739
Param_70,361
Param_71,33
Param_72,239
Param_73,990
Param_74,711
Param_75,878
Param_76,228
Param_77,504
Param_78,341
Param_79,970
Param_80,335
Param_81,812
Param_82,922
Param_83,72
Param_84,667
Param_85,809
Param_86,899
Param_87,961
Param_88,774
Param_89,903
Param_90,599
Param_91,395
Param_92,340
Param_93,903
Param_94,866
Param_95,918
Param_96,899
Param_97,852
Param_98,587
Param_99,480
Param_100,297
