Site: Funchal
Date: 2025-10-13
Coordinates: 11.380332, -168.803715
Line 1: Temp=28°C, Humidity=75%, Weather=Rainy, Battery=86%, Data=Partial
Line 2: Temp=28°C, Humidity=75%, Weather=Rainy, Battery=88%, Data=Completed
Line 3: Temp=29°C, Humidity=76%, Weather=Windy, Battery=90%, Data=Completed
Line 4: Temp=27°C, Humidity=71%, Weather=Rainy, Battery=84%, Data=Partial
Line 5: Temp=28°C, Humidity=71%, Weather=Windy, Battery=89%, Data=Partial
Line 6: Temp=26°C, Humidity=73%, Weather=Cloudy, Battery=98%, Data=Partial
Line 7: Temp=27°C, Humidity=77%, Weather=Cloudy, Battery=84%, Data=Completed
Line 8: Temp=29°C, Humidity=72%, Weather=Windy, Battery=87%, Data=Partial
Line 9: Temp=27°C, Humidity=69%, Weather=Foggy, Battery=99%, Data=Completed
Line 10: Temp=26°C, Humidity=67%, Weather=Windy, Battery=97%, Data=Completed
Line 11: Temp=27°C, Humidity=76%, Weather=Windy, Battery=85%, Data=Pending
Line 12: Temp=28°C, Humidity=73%, Weather=Foggy, Battery=80%, Data=Partial
Line 13: Temp=26°C, Humidity=74%, Weather=Sunny, Battery=97%, Data=Pending
Line 14: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=81%, Data=Pending
Line 15: Temp=27°C, Humidity=75%, Weather=Rainy, Battery=90%, Data=Pending
Line 16: Temp=27°C, Humidity=69%, Weather=Foggy, Battery=90%, Data=Pending
Line 17: Temp=25°C, Humidity=73%, Weather=Windy, Battery=96%, Data=Pending
Line 18: Temp=29°C, Humidity=72%, Weather=Foggy, Battery=95%, Data=Completed
Line 19: Temp=29°C, Humidity=76%, Weather=Sunny, Battery=100%, Data=Partial
Line 20: Temp=25°C, Humidity=77%, Weather=Foggy, Battery=81%, Data=Pending
Line 21: Temp=29°C, Humidity=68%, Weather=Windy, Battery=90%, Data=Pending
Line 22: Temp=28°C, Humidity=73%, Weather=Rainy, Battery=92%, Data=Completed
Line 23: Temp=26°C, Humidity=70%, Weather=Sunny, Battery=91%, Data=Pending
Line 24: Temp=29°C, Humidity=69%, Weather=Cloudy, Battery=90%, Data=Partial
Line 25: Temp=29°C, Humidity=75%, Weather=Foggy, Battery=87%, Data=Completed
Line 26: Temp=29°C, Humidity=68%, Weather=Windy, Battery=82%, Data=Completed
Line 27: Temp=27°C, Humidity=67%, Weather=Sunny, Battery=97%, Data=Pending
Line 28: Temp=28°C, Humidity=74%, Weather=Sunny, Battery=93%, Data=Pending
Line 29: Temp=26°C, Humidity=67%, Weather=Windy, Battery=82%, Data=Partial
Line 30: Temp=29°C, Humidity=76%, Weather=Cloudy, Battery=94%, Data=Pending
Line 31: Temp=26°C, Humidity=73%, Weather=Sunny, Battery=97%, Data=Pending
Line 32: Temp=28°C, Humidity=77%, Weather=Windy, Battery=84%, Data=Pending
Line 33: Temp=26°C, Humidity=74%, Weather=Sunny, Battery=87%, Data=Partial
Line 34: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=92%, Data=Completed
Line 35: Temp=29°C, Humidity=67%, Weather=Cloudy, Battery=87%, Data=Partial
Line 36: Temp=26°C, Humidity=69%, Weather=Sunny, Battery=91%, Data=Partial
Line 37: Temp=29°C, Humidity=67%, Weather=Windy, Battery=84%, Data=Completed
Line 38: Temp=28°C, Humidity=77%, Weather=Windy, Battery=94%, Data=Pending
Line 39: Temp=29°C, Humidity=70%, Weather=Cloudy, Battery=97%, Data=Pending
Line 40: Temp=25°C, Humidity=76%, Weather=Rainy, Battery=84%, Data=Partial
Line 41: Temp=27°C, Humidity=75%, Weather=Sunny, Battery=80%, Data=Partial
Line 42: Temp=27°C, Humidity=72%, Weather=Sunny, Battery=88%, Data=Pending
Line 43: Temp=27°C, Humidity=72%, Weather=Sunny, Battery=83%, Data=Completed
Line 44: Temp=29°C, Humidity=69%, Weather=Cloudy, Battery=85%, Data=Completed
Line 45: Temp=29°C, Humidity=73%, Weather=Foggy, Battery=88%, Data=Pending
Line 46: Temp=26°C, Humidity=74%, Weather=Windy, Battery=89%, Data=Pending
Line 47: Temp=25°C, Humidity=76%, Weather=Cloudy, Battery=87%, Data=Partial
Line 48: Temp=25°C, Humidity=73%, Weather=Sunny, Battery=91%, Data=Completed
Line 49: Temp=25°C, Humidity=70%, Weather=Sunny, Battery=99%, Data=Completed
Line 50: Temp=27°C, Humidity=76%, Weather=Foggy, Battery=80%, Data=Partial
Line 51: Temp=27°C, Humidity=68%, Weather=Cloudy, Battery=83%, Data=Completed
Line 52: Temp=25°C, Humidity=77%, Weather=Rainy, Battery=97%, Data=Pending
Line 53: Temp=27°C, Humidity=72%, Weather=Foggy, Battery=91%, Data=Pending
Line 54: Temp=27°C, Humidity=69%, Weather=Windy, Battery=96%, Data=Pending
Line 55: Temp=27°C, Humidity=73%, Weather=Cloudy, Battery=80%, Data=Completed
Line 56: Temp=26°C, Humidity=75%, Weather=Foggy, Battery=90%, Data=Partial
Line 57: Temp=27°C, Humidity=69%, Weather=Foggy, Battery=80%, Data=Partial
Line 58: Temp=26°C, Humidity=76%, Weather=Cloudy, Battery=99%, Data=Completed
Line 59: Temp=29°C, Humidity=74%, Weather=Windy, Battery=89%, Data=Partial
Line 60: Temp=27°C, Humidity=74%, Weather=Rainy, Battery=87%, Data=Completed
Line 61: Temp=29°C, Humidity=73%, Weather=Cloudy, Battery=88%, Data=Pending
Line 62: Temp=27°C, Humidity=73%, Weather=Sunny, Battery=85%, Data=Partial
Line 63: Temp=29°C, Humidity=72%, Weather=Rainy, Battery=91%, Data=Partial
Line 64: Temp=25°C, Humidity=71%, Weather=Foggy, Battery=99%, Data=Completed
Line 65: Temp=26°C, Humidity=67%, Weather=Sunny, Battery=90%, Data=Completed
Line 66: Temp=28°C, Humidity=71%, Weather=Windy, Battery=98%, Data=Partial
Line 67: Temp=27°C, Humidity=72%, Weather=Foggy, Battery=97%, Data=Partial
Line 68: Temp=27°C, Humidity=71%, Weather=Rainy, Battery=92%, Data=Partial
Line 69: Temp=29°C, Humidity=67%, Weather=Cloudy, Battery=96%, Data=Completed
Line 70: Temp=26°C, Humidity=68%, Weather=Sunny, Battery=88%, Data=Partial
Line 71: Temp=27°C, Humidity=74%, Weather=Cloudy, Battery=95%, Data=Pending
Line 72: Temp=26°C, Humidity=67%, Weather=Foggy, Battery=92%, Data=Partial
Line 73: Temp=26°C, Humidity=67%, Weather=Foggy, Battery=89%, Data=Partial
Line 74: Temp=27°C, Humidity=68%, Weather=Rainy, Battery=95%, Data=Completed
Line 75: Temp=26°C, Humidity=77%, Weather=Cloudy, Battery=100%, Data=Partial
Line 76: Temp=28°C, Humidity=75%, Weather=Sunny, Battery=95%, Data=Pending
Line 77: Temp=26°C, Humidity=75%, Weather=Sunny, Battery=82%, Data=Completed
Line 78: Temp=25°C, Humidity=73%, Weather=Rainy, Battery=96%, Data=Completed
Line 79: Temp=27°C, Humidity=75%, Weather=Foggy, Battery=80%, Data=Partial
Line 80: Temp=29°C, Humidity=68%, Weather=Rainy, Battery=94%, Data=Completed
Line 81: Temp=25°C, Humidity=67%, Weather=Sunny, Battery=97%, Data=Completed
Line 82: Temp=28°C, Humidity=73%, Weather=Foggy, Battery=93%, Data=Partial
Line 83: Temp=25°C, Humidity=69%, Weather=Cloudy, Battery=97%, Data=Pending
Line 84: Temp=25°C, Humidity=76%, Weather=Foggy, Battery=84%, Data=Partial
Line 85: Temp=26°C, Humidity=71%, Weather=Windy, Battery=100%, Data=Partial
