Parameter,Value
Param_1,636
Param_2,418
Param_3,94
Param_4,55
Param_5,380
Param_6,925
Param_7,705
Param_8,76
Param_9,926
Param_10,765
Param_11,100
Param_12,539
Param_13,189
Param_14,38
Param_15,42
Param_16,45
Param_17,852
Param_18,965
Param_19,471
Param_20,751
Param_21,545
Param_22,827
Param_23,762
Param_24,433
Param_25,711
Param_26,994
Param_27,220
Param_28,269
Param_29,28
Param_30,489
Param_31,410
Param_32,194
Param_33,185
Param_34,215
Param_35,389
Param_36,258
Param_37,113
Param_38,985
Param_39,71
Param_40,86
Param_41,712
Param_42,518
Param_43,737
Param_44,684
Param_45,446
Param_46,567
Param_47,181
Param_48,692
Param_49,573
Param_50,326
Param_51,343
Param_52,964
Param_53,407
Param_54,114
Param_55,555
Param_56,940
Param_57,741
Param_58,962
Param_59,407
Param_60,571
Param_61,479
Param_62,301
Param_63,471
Param_64,596
Param_65,290
Param_66,763
Param_67,700
Param_68,955
Param_69,501
Param_70,780
Param_71,925
Param_72,724
Param_73,562
Param_74,988
Param_75,560
Param_76,272
Param_77,388
Param_78,374
Param_79,624
Param_80,913
Param_81,777
Param_82,167
Param_83,996
Param_84,615
Param_85,586
Param_86,367
Param_87,989
Param_88,246
Param_89,840
Param_90,559
Param_91,918
Param_92,823
Param_93,469
Param_94,513
Param_95,504
Param_96,176
Param_97,805
Param_98,689
Param_99,716
Param_100,224
