Parameter,Value
Param_1,114
Param_2,617
Param_3,22
Param_4,24
Param_5,962
Param_6,255
Param_7,644
Param_8,879
Param_9,459
Param_10,320
Param_11,299
Param_12,234
Param_13,784
Param_14,741
Param_15,492
Param_16,799
Param_17,241
Param_18,107
Param_19,237
Param_20,332
Param_21,517
Param_22,233
Param_23,174
Param_24,663
Param_25,49
Param_26,187
Param_27,339
Param_28,236
Param_29,894
Param_30,559
Param_31,739
Param_32,787
Param_33,209
Param_34,47
Param_35,665
Param_36,297
Param_37,497
Param_38,49
Param_39,469
Param_40,317
Param_41,489
Param_42,656
Param_43,100
Param_44,736
Param_45,454
Param_46,237
Param_47,26
Param_48,251
Param_49,208
Param_50,561
Param_51,595
Param_52,973
Param_53,235
Param_54,510
Param_55,485
Param_56,908
Param_57,980
Param_58,723
Param_59,143
Param_60,961
Param_61,844
Param_62,772
Param_63,141
Param_64,101
Param_65,543
Param_66,923
Param_67,679
Param_68,740
Param_69,112
Param_70,279
Param_71,613
Param_72,122
Param_73,960
Param_74,444
Param_75,226
Param_76,136
Param_77,669
Param_78,973
Param_79,635
Param_80,104
Param_81,691
Param_82,573
Param_83,759
Param_84,625
Param_85,166
Param_86,791
Param_87,562
Param_88,959
Param_89,940
Param_90,510
Param_91,190
Param_92,115
Param_93,143
Param_94,778
Param_95,425
Param_96,831
Param_97,349
Param_98,677
Param_99,874
Param_100,448
