Site: Glasgow
Date: 2025-10-04
Coordinates: 57.102681, -127.863819
Line 1: Temp=27°C, Humidity=70%, Weather=Foggy, Battery=86%, Data=Completed
Line 2: Temp=28°C, Humidity=71%, Weather=Rainy, Battery=93%, Data=Partial
Line 3: Temp=30°C, Humidity=71%, Weather=Windy, Battery=92%, Data=Partial
Line 4: Temp=27°C, Humidity=68%, Weather=Windy, Battery=81%, Data=Completed
Line 5: Temp=29°C, Humidity=71%, Weather=Sunny, Battery=84%, Data=Completed
Line 6: Temp=28°C, Humidity=70%, Weather=Cloudy, Battery=100%, Data=Partial
Line 7: Temp=29°C, Humidity=73%, Weather=Sunny, Battery=92%, Data=Partial
Line 8: Temp=26°C, Humidity=69%, Weather=Rainy, Battery=90%, Data=Pending
Line 9: Temp=29°C, Humidity=77%, Weather=Windy, Battery=93%, Data=Pending
Line 10: Temp=29°C, Humidity=72%, Weather=Foggy, Battery=80%, Data=Partial
Line 11: Temp=30°C, Humidity=76%, Weather=Cloudy, Battery=86%, Data=Pending
Line 12: Temp=26°C, Humidity=71%, Weather=Foggy, Battery=88%, Data=Completed
Line 13: Temp=26°C, Humidity=68%, Weather=Windy, Battery=84%, Data=Completed
Line 14: Temp=26°C, Humidity=77%, Weather=Sunny, Battery=90%, Data=Completed
Line 15: Temp=30°C, Humidity=73%, Weather=Sunny, Battery=96%, Data=Partial
Line 16: Temp=30°C, Humidity=76%, Weather=Foggy, Battery=94%, Data=Completed
Line 17: Temp=27°C, Humidity=75%, Weather=Windy, Battery=93%, Data=Completed
Line 18: Temp=27°C, Humidity=73%, Weather=Sunny, Battery=96%, Data=Completed
Line 19: Temp=29°C, Humidity=69%, Weather=Windy, Battery=97%, Data=Pending
Line 20: Temp=26°C, Humidity=69%, Weather=Cloudy, Battery=83%, Data=Partial
Line 21: Temp=30°C, Humidity=76%, Weather=Foggy, Battery=94%, Data=Partial
Line 22: Temp=29°C, Humidity=69%, Weather=Cloudy, Battery=92%, Data=Pending
Line 23: Temp=29°C, Humidity=70%, Weather=Rainy, Battery=85%, Data=Partial
Line 24: Temp=27°C, Humidity=76%, Weather=Windy, Battery=99%, Data=Pending
