Parameter,Value
Param_1,765
Param_2,290
Param_3,512
Param_4,283
Param_5,423
Param_6,672
Param_7,800
Param_8,282
Param_9,866
Param_10,410
Param_11,228
Param_12,858
Param_13,186
Param_14,685
Param_15,144
Param_16,85
Param_17,309
Param_18,651
Param_19,774
Param_20,88
Param_21,210
Param_22,270
Param_23,907
Param_24,814
Param_25,127
Param_26,919
Param_27,342
Param_28,87
Param_29,504
Param_30,654
Param_31,147
Param_32,376
Param_33,945
Param_34,439
Param_35,196
Param_36,290
Param_37,125
Param_38,85
Param_39,286
Param_40,830
Param_41,132
Param_42,622
Param_43,803
Param_44,337
Param_45,179
Param_46,922
Param_47,871
Param_48,783
Param_49,724
Param_50,956
Param_51,459
Param_52,802
Param_53,256
Param_54,873
Param_55,885
Param_56,665
Param_57,19
Param_58,645
Param_59,416
Param_60,830
Param_61,118
Param_62,261
Param_63,830
Param_64,141
Param_65,459
Param_66,22
Param_67,691
Param_68,415
Param_69,516
Param_70,617
Param_71,741
Param_72,417
Param_73,764
Param_74,375
Param_75,200
Param_76,525
Param_77,954
Param_78,134
Param_79,809
Param_80,993
Param_81,86
Param_82,757
Param_83,299
Param_84,428
Param_85,770
Param_86,578
Param_87,663
Param_88,910
Param_89,867
Param_90,392
Param_91,789
Param_92,978
Param_93,217
Param_94,865
Param_95,582
Param_96,546
Param_97,809
Param_98,870
Param_99,865
Param_100,915
