Parameter,Value
Param_1,742
Param_2,937
Param_3,693
Param_4,866
Param_5,731
Param_6,219
Param_7,210
Param_8,236
Param_9,615
Param_10,969
Param_11,136
Param_12,476
Param_13,497
Param_14,420
Param_15,859
Param_16,380
Param_17,847
Param_18,769
Param_19,4
Param_20,587
Param_21,804
Param_22,39
Param_23,622
Param_24,240
Param_25,368
Param_26,207
Param_27,892
Param_28,614
Param_29,518
Param_30,311
Param_31,261
Param_32,515
Param_33,610
Param_34,881
Param_35,461
Param_36,425
Param_37,150
Param_38,845
Param_39,727
Param_40,169
Param_41,340
Param_42,232
Param_43,474
Param_44,897
Param_45,530
Param_46,152
Param_47,805
Param_48,811
Param_49,966
Param_50,425
Param_51,314
Param_52,508
Param_53,240
Param_54,233
Param_55,439
Param_56,837
Param_57,581
Param_58,581
Param_59,26
Param_60,235
Param_61,328
Param_62,277
Param_63,880
Param_64,800
Param_65,452
Param_66,762
Param_67,915
Param_68,342
Param_69,524
Param_70,969
Param_71,533
Param_72,997
Param_73,358
Param_74,828
Param_75,251
Param_76,860
Param_77,286
Param_78,886
Param_79,779
Param_80,72
Param_81,402
Param_82,980
Param_83,976
Param_84,716
Param_85,101
Param_86,98
Param_87,453
Param_88,837
Param_89,209
Param_90,314
Param_91,551
Param_92,506
Param_93,297
Param_94,386
Param_95,932
Param_96,118
Param_97,435
Param_98,280
Param_99,607
Param_100,234
