Site: Hanoi
Date: 2025-10-15
Coordinates: 35.567661, 156.659276
Line 1: Temp=30°C, Humidity=78%, Weather=Windy, Battery=97%, Data=Partial
Line 2: Temp=28°C, Humidity=70%, Weather=Windy, Battery=97%, Data=Partial
Line 3: Temp=30°C, Humidity=69%, Weather=Sunny, Battery=98%, Data=Partial
Line 4: Temp=30°C, Humidity=73%, Weather=Cloudy, Battery=81%, Data=Completed
Line 5: Temp=30°C, Humidity=79%, Weather=Sunny, Battery=100%, Data=Completed
Line 6: Temp=30°C, Humidity=75%, Weather=Sunny, Battery=100%, Data=Partial
Line 7: Temp=28°C, Humidity=77%, Weather=Cloudy, Battery=90%, Data=Partial
Line 8: Temp=28°C, Humidity=72%, Weather=Foggy, Battery=86%, Data=Partial
Line 9: Temp=28°C, Humidity=72%, Weather=Foggy, Battery=87%, Data=Pending
Line 10: Temp=31°C, Humidity=72%, Weather=Windy, Battery=91%, Data=Completed
Line 11: Temp=27°C, Humidity=71%, Weather=Windy, Battery=83%, Data=Partial
Line 12: Temp=30°C, Humidity=70%, Weather=Windy, Battery=94%, Data=Pending
Line 13: Temp=30°C, Humidity=78%, Weather=Foggy, Battery=88%, Data=Pending
Line 14: Temp=29°C, Humidity=76%, Weather=Cloudy, Battery=91%, Data=Pending
Line 15: Temp=31°C, Humidity=78%, Weather=Foggy, Battery=92%, Data=Completed
Line 16: Temp=29°C, Humidity=72%, Weather=Cloudy, Battery=98%, Data=Pending
Line 17: Temp=29°C, Humidity=70%, Weather=Sunny, Battery=82%, Data=Pending
Line 18: Temp=28°C, Humidity=77%, Weather=Cloudy, Battery=81%, Data=Pending
Line 19: Temp=27°C, Humidity=77%, Weather=Windy, Battery=84%, Data=Partial
Line 20: Temp=29°C, Humidity=73%, Weather=Foggy, Battery=84%, Data=Completed
Line 21: Temp=28°C, Humidity=71%, Weather=Windy, Battery=96%, Data=Completed
Line 22: Temp=31°C, Humidity=79%, Weather=Rainy, Battery=98%, Data=Partial
Line 23: Temp=29°C, Humidity=70%, Weather=Sunny, Battery=94%, Data=Partial
Line 24: Temp=27°C, Humidity=78%, Weather=Rainy, Battery=86%, Data=Partial
Line 25: Temp=30°C, Humidity=74%, Weather=Foggy, Battery=82%, Data=Completed
Line 26: Temp=29°C, Humidity=71%, Weather=Sunny, Battery=92%, Data=Pending
Line 27: Temp=29°C, Humidity=74%, Weather=Rainy, Battery=80%, Data=Pending
Line 28: Temp=27°C, Humidity=77%, Weather=Rainy, Battery=96%, Data=Completed
Line 29: Temp=29°C, Humidity=69%, Weather=Windy, Battery=93%, Data=Partial
Line 30: Temp=31°C, Humidity=74%, Weather=Sunny, Battery=80%, Data=Completed
Line 31: Temp=28°C, Humidity=69%, Weather=Windy, Battery=92%, Data=Pending
Line 32: Temp=31°C, Humidity=74%, Weather=Windy, Battery=88%, Data=Pending
Line 33: Temp=30°C, Humidity=70%, Weather=Rainy, Battery=84%, Data=Partial
Line 34: Temp=29°C, Humidity=69%, Weather=Windy, Battery=97%, Data=Partial
Line 35: Temp=29°C, Humidity=76%, Weather=Windy, Battery=84%, Data=Partial
Line 36: Temp=28°C, Humidity=72%, Weather=Foggy, Battery=93%, Data=Completed
Line 37: Temp=31°C, Humidity=75%, Weather=Sunny, Battery=94%, Data=Completed
Line 38: Temp=27°C, Humidity=71%, Weather=Windy, Battery=89%, Data=Partial
Line 39: Temp=29°C, Humidity=71%, Weather=Rainy, Battery=88%, Data=Partial
Line 40: Temp=30°C, Humidity=79%, Weather=Cloudy, Battery=100%, Data=Completed
Line 41: Temp=28°C, Humidity=71%, Weather=Rainy, Battery=86%, Data=Pending
Line 42: Temp=31°C, Humidity=70%, Weather=Windy, Battery=84%, Data=Partial
Line 43: Temp=27°C, Humidity=70%, Weather=Foggy, Battery=81%, Data=Pending
Line 44: Temp=28°C, Humidity=76%, Weather=Sunny, Battery=89%, Data=Partial
Line 45: Temp=29°C, Humidity=70%, Weather=Rainy, Battery=100%, Data=Partial
Line 46: Temp=29°C, Humidity=74%, Weather=Rainy, Battery=88%, Data=Pending
Line 47: Temp=30°C, Humidity=69%, Weather=Foggy, Battery=85%, Data=Pending
Line 48: Temp=30°C, Humidity=70%, Weather=Windy, Battery=85%, Data=Completed
Line 49: Temp=31°C, Humidity=79%, Weather=Cloudy, Battery=93%, Data=Partial
Line 50: Temp=28°C, Humidity=76%, Weather=Foggy, Battery=99%, Data=Partial
Line 51: Temp=29°C, Humidity=79%, Weather=Cloudy, Battery=87%, Data=Pending
Line 52: Temp=28°C, Humidity=70%, Weather=Sunny, Battery=88%, Data=Completed
Line 53: Temp=28°C, Humidity=79%, Weather=Rainy, Battery=89%, Data=Pending
Line 54: Temp=28°C, Humidity=75%, Weather=Rainy, Battery=81%, Data=Pending
Line 55: Temp=29°C, Humidity=70%, Weather=Windy, Battery=89%, Data=Partial
Line 56: Temp=27°C, Humidity=75%, Weather=Sunny, Battery=80%, Data=Pending
Line 57: Temp=30°C, Humidity=79%, Weather=Sunny, Battery=90%, Data=Pending
Line 58: Temp=29°C, Humidity=74%, Weather=Sunny, Battery=93%, Data=Pending
Line 59: Temp=31°C, Humidity=69%, Weather=Windy, Battery=99%, Data=Completed
Line 60: Temp=27°C, Humidity=74%, Weather=Windy, Battery=91%, Data=Partial
Line 61: Temp=29°C, Humidity=76%, Weather=Windy, Battery=83%, Data=Partial
Line 62: Temp=30°C, Humidity=79%, Weather=Cloudy, Battery=97%, Data=Partial
Line 63: Temp=31°C, Humidity=77%, Weather=Sunny, Battery=81%, Data=Partial
Line 64: Temp=28°C, Humidity=72%, Weather=Cloudy, Battery=97%, Data=Pending
Line 65: Temp=28°C, Humidity=73%, Weather=Rainy, Battery=83%, Data=Pending
Line 66: Temp=28°C, Humidity=71%, Weather=Windy, Battery=96%, Data=Completed
Line 67: Temp=28°C, Humidity=77%, Weather=Sunny, Battery=94%, Data=Partial
Line 68: Temp=29°C, Humidity=72%, Weather=Foggy, Battery=94%, Data=Completed
Line 69: Temp=27°C, Humidity=75%, Weather=Cloudy, Battery=90%, Data=Completed
