Parameter,Value
Param_1,923
Param_2,405
Param_3,283
Param_4,139
Param_5,186
Param_6,349
Param_7,797
Param_8,701
Param_9,559
Param_10,834
Param_11,563
Param_12,328
Param_13,212
Param_14,323
Param_15,993
Param_16,217
Param_17,994
Param_18,698
Param_19,686
Param_20,476
Param_21,649
Param_22,845
Param_23,8
Param_24,52
Param_25,716
Param_26,99
Param_27,303
Param_28,321
Param_29,884
Param_30,154
Param_31,634
Param_32,789
Param_33,372
Param_34,762
Param_35,796
Param_36,553
Param_37,424
Param_38,575
Param_39,516
Param_40,397
Param_41,324
Param_42,47
Param_43,538
Param_44,242
Param_45,227
Param_46,661
Param_47,625
Param_48,249
Param_49,621
Param_50,885
Param_51,236
Param_52,215
Param_53,820
Param_54,578
Param_55,589
Param_56,370
Param_57,710
Param_58,277
Param_59,468
Param_60,469
Param_61,6
Param_62,660
Param_63,183
Param_64,695
Param_65,404
Param_66,290
Param_67,68
Param_68,296
Param_69,71
Param_70,416
Param_71,769
Param_72,328
Param_73,848
Param_74,21
Param_75,498
Param_76,986
Param_77,649
Param_78,641
Param_79,715
Param_80,343
Param_81,64
Param_82,948
Param_83,560
Param_84,33
Param_85,612
Param_86,984
Param_87,877
Param_88,781
Param_89,628
Param_90,145
Param_91,680
Param_92,756
Param_93,282
Param_94,964
Param_95,718
Param_96,377
Param_97,908
Param_98,694
Param_99,539
Param_100,55
