Parameter,Value
Param_1,626
Param_2,434
Param_3,734
Param_4,74
Param_5,197
Param_6,813
Param_7,937
Param_8,834
Param_9,713
Param_10,54
Param_11,924
Param_12,356
Param_13,124
Param_14,400
Param_15,89
Param_16,426
Param_17,968
Param_18,93
Param_19,655
Param_20,4
Param_21,461
Param_22,155
Param_23,426
Param_24,670
Param_25,6
Param_26,597
Param_27,515
Param_28,548
Param_29,839
Param_30,910
Param_31,751
Param_32,884
Param_33,15
Param_34,130
Param_35,827
Param_36,839
Param_37,1
Param_38,142
Param_39,299
Param_40,210
Param_41,514
Param_42,844
Param_43,177
Param_44,696
Param_45,605
Param_46,52
Param_47,58
Param_48,738
Param_49,387
Param_50,569
Param_51,598
Param_52,695
Param_53,710
Param_54,952
Param_55,644
Param_56,793
Param_57,891
Param_58,170
Param_59,88
Param_60,45
Param_61,742
Param_62,370
Param_63,591
Param_64,287
Param_65,762
Param_66,448
Param_67,106
Param_68,98
Param_69,795
Param_70,60
Param_71,428
Param_72,367
Param_73,968
Param_74,616
Param_75,357
Param_76,314
Param_77,856
Param_78,814
Param_79,975
Param_80,163
Param_81,173
Param_82,991
Param_83,797
Param_84,298
Param_85,289
Param_86,470
Param_87,401
Param_88,237
Param_89,270
Param_90,180
Param_91,642
Param_92,2
Param_93,580
Param_94,435
Param_95,700
Param_96,353
Param_97,63
Param_98,753
Param_99,392
Param_100,685
