Parameter,Value
Param_1,972
Param_2,895
Param_3,888
Param_4,57
Param_5,925
Param_6,169
Param_7,327
Param_8,104
Param_9,486
Param_10,770
Param_11,595
Param_12,224
Param_13,390
Param_14,204
Param_15,82
Param_16,187
Param_17,300
Param_18,371
Param_19,875
Param_20,639
Param_21,546
Param_22,509
Param_23,951
Param_24,82
Param_25,946
Param_26,982
Param_27,462
Param_28,535
Param_29,943
Param_30,682
Param_31,636
Param_32,901
Param_33,887
Param_34,974
Param_35,577
Param_36,696
Param_37,613
Param_38,833
Param_39,8
Param_40,978
Param_41,928
Param_42,260
Param_43,800
Param_44,266
Param_45,887
Param_46,763
Param_47,385
Param_48,690
Param_49,674
Param_50,174
Param_51,173
Param_52,301
Param_53,623
Param_54,269
Param_55,68
Param_56,400
Param_57,812
Param_58,351
Param_59,157
Param_60,755
Param_61,255
Param_62,734
Param_63,115
Param_64,536
Param_65,709
Param_66,823
Param_67,946
Param_68,989
Param_69,299
Param_70,732
Param_71,606
Param_72,111
Param_73,389
Param_74,940
Param_75,510
Param_76,901
Param_77,766
Param_78,42
Param_79,623
Param_80,88
Param_81,208
Param_82,934
Param_83,275
Param_84,184
Param_85,986
Param_86,899
Param_87,510
Param_88,295
Param_89,470
Param_90,654
Param_91,664
Param_92,566
Param_93,516
Param_94,51
Param_95,88
Param_96,535
Param_97,93
Param_98,375
Param_99,840
Param_100,87
