Parameter,Value
Param_1,959
Param_2,521
Param_3,312
Param_4,466
Param_5,219
Param_6,34
Param_7,471
Param_8,973
Param_9,874
Param_10,118
Param_11,562
Param_12,200
Param_13,116
Param_14,80
Param_15,857
Param_16,136
Param_17,531
Param_18,915
Param_19,170
Param_20,144
Param_21,494
Param_22,958
Param_23,55
Param_24,688
Param_25,988
Param_26,124
Param_27,474
Param_28,258
Param_29,874
Param_30,608
Param_31,907
Param_32,465
Param_33,878
Param_34,694
Param_35,215
Param_36,493
Param_37,329
Param_38,401
Param_39,920
Param_40,844
Param_41,600
Param_42,874
Param_43,497
Param_44,677
Param_45,167
Param_46,723
Param_47,187
Param_48,722
Param_49,464
Param_50,621
Param_51,502
Param_52,812
Param_53,238
Param_54,265
Param_55,847
Param_56,418
Param_57,11
Param_58,864
Param_59,352
Param_60,943
Param_61,586
Param_62,618
Param_63,958
Param_64,553
Param_65,969
Param_66,696
Param_67,309
Param_68,760
Param_69,622
Param_70,809
Param_71,948
Param_72,841
Param_73,825
Param_74,72
Param_75,290
Param_76,313
Param_77,910
Param_78,163
Param_79,807
Param_80,397
Param_81,426
Param_82,595
Param_83,593
Param_84,118
Param_85,60
Param_86,507
Param_87,247
Param_88,166
Param_89,28
Param_90,575
Param_91,631
Param_92,158
Param_93,695
Param_94,512
Param_95,579
Param_96,245
Param_97,161
Param_98,760
Param_99,81
Param_100,675
