Parameter,Value
Param_1,275
Param_2,957
Param_3,362
Param_4,881
Param_5,355
Param_6,154
Param_7,91
Param_8,71
Param_9,759
Param_10,123
Param_11,891
Param_12,486
Param_13,631
Param_14,244
Param_15,340
Param_16,7
Param_17,121
Param_18,147
Param_19,25
Param_20,0
Param_21,420
Param_22,84
Param_23,623
Param_24,939
Param_25,659
Param_26,31
Param_27,221
Param_28,119
Param_29,914
Param_30,252
Param_31,322
Param_32,327
Param_33,788
Param_34,964
Param_35,752
Param_36,279
Param_37,307
Param_38,244
Param_39,549
Param_40,469
Param_41,693
Param_42,191
Param_43,167
Param_44,186
Param_45,798
Param_46,437
Param_47,321
Param_48,461
Param_49,184
Param_50,269
Param_51,173
Param_52,559
Param_53,742
Param_54,130
Param_55,954
Param_56,570
Param_57,915
Param_58,860
Param_59,604
Param_60,810
Param_61,131
Param_62,965
Param_63,375
Param_64,127
Param_65,989
Param_66,391
Param_67,526
Param_68,187
Param_69,279
Param_70,898
Param_71,605
Param_72,850
Param_73,562
Param_74,300
Param_75,346
Param_76,460
Param_77,911
Param_78,682
Param_79,119
Param_80,408
Param_81,982
Param_82,746
Param_83,814
Param_84,402
Param_85,619
Param_86,508
Param_87,932
Param_88,988
Param_89,820
Param_90,44
Param_91,624
Param_92,791
Param_93,343
Param_94,39
Param_95,391
Param_96,619
Param_97,740
Param_98,326
Param_99,659
Param_100,809
