Parameter,Value
Param_1,579
Param_2,772
Param_3,272
Param_4,31
Param_5,133
Param_6,704
Param_7,687
Param_8,862
Param_9,207
Param_10,300
Param_11,572
Param_12,390
Param_13,798
Param_14,43
Param_15,145
Param_16,132
Param_17,895
Param_18,532
Param_19,124
Param_20,303
Param_21,38
Param_22,65
Param_23,145
Param_24,143
Param_25,57
Param_26,479
Param_27,22
Param_28,882
Param_29,978
Param_30,400
Param_31,281
Param_32,175
Param_33,910
Param_34,593
Param_35,698
Param_36,473
Param_37,689
Param_38,448
Param_39,444
Param_40,191
Param_41,57
Param_42,895
Param_43,79
Param_44,302
Param_45,375
Param_46,731
Param_47,941
Param_48,609
Param_49,580
Param_50,941
Param_51,774
Param_52,793
Param_53,110
Param_54,93
Param_55,428
Param_56,202
Param_57,987
Param_58,618
Param_59,525
Param_60,102
Param_61,480
Param_62,613
Param_63,932
Param_64,939
Param_65,340
Param_66,317
Param_67,148
Param_68,251
Param_69,634
Param_70,28
Param_71,361
Param_72,604
Param_73,605
Param_74,279
Param_75,594
Param_76,54
Param_77,45
Param_78,212
Param_79,298
Param_80,836
Param_81,223
Param_82,244
Param_83,753
Param_84,749
Param_85,615
Param_86,697
Param_87,847
Param_88,258
Param_89,766
Param_90,84
Param_91,344
Param_92,747
Param_93,281
Param_94,808
Param_95,936
Param_96,371
Param_97,91
Param_98,240
Param_99,396
Param_100,148
