Site: Jaipur
Date: 2025-10-30
Coordinates: 69.245547, 5.35042
Line 1: Temp=29°C, Humidity=75%, Weather=Foggy, Battery=99%, Data=Pending
Line 2: Temp=30°C, Humidity=78%, Weather=Windy, Battery=85%, Data=Partial
Line 3: Temp=27°C, Humidity=76%, Weather=Windy, Battery=89%, Data=Completed
Line 4: Temp=31°C, Humidity=81%, Weather=Rainy, Battery=84%, Data=Pending
Line 5: Temp=30°C, Humidity=78%, Weather=Rainy, Battery=92%, Data=Partial
Line 6: Temp=29°C, Humidity=80%, Weather=Windy, Battery=90%, Data=Pending
Line 7: Temp=30°C, Humidity=75%, Weather=Windy, Battery=92%, Data=Partial
Line 8: Temp=29°C, Humidity=76%, Weather=Rainy, Battery=93%, Data=Partial
Line 9: Temp=30°C, Humidity=79%, Weather=Foggy, Battery=87%, Data=Completed
Line 10: Temp=29°C, Humidity=78%, Weather=Cloudy, Battery=85%, Data=Partial
Line 11: Temp=28°C, Humidity=76%, Weather=Windy, Battery=92%, Data=Partial
Line 12: Temp=28°C, Humidity=74%, Weather=Cloudy, Battery=88%, Data=Completed
Line 13: Temp=31°C, Humidity=84%, Weather=Windy, Battery=92%, Data=Partial
Line 14: Temp=28°C, Humidity=84%, Weather=Foggy, Battery=97%, Data=Pending
Line 15: Temp=28°C, Humidity=76%, Weather=Sunny, Battery=96%, Data=Partial
Line 16: Temp=31°C, Humidity=78%, Weather=Rainy, Battery=85%, Data=Partial
Line 17: Temp=29°C, Humidity=83%, Weather=Foggy, Battery=81%, Data=Partial
Line 18: Temp=28°C, Humidity=74%, Weather=Windy, Battery=97%, Data=Completed
Line 19: Temp=29°C, Humidity=82%, Weather=Foggy, Battery=83%, Data=Pending
Line 20: Temp=30°C, Humidity=77%, Weather=Foggy, Battery=84%, Data=Partial
Line 21: Temp=30°C, Humidity=80%, Weather=Foggy, Battery=83%, Data=Completed
Line 22: Temp=30°C, Humidity=81%, Weather=Sunny, Battery=81%, Data=Pending
Line 23: Temp=28°C, Humidity=79%, Weather=Rainy, Battery=82%, Data=Completed
Line 24: Temp=31°C, Humidity=79%, Weather=Cloudy, Battery=80%, Data=Partial
Line 25: Temp=27°C, Humidity=77%, Weather=Windy, Battery=84%, Data=Completed
