Site: Jakarta
Date: 2025-10-13
Coordinates: 35.277539, 111.862696
Line 1: Temp=26°C, Humidity=67%, Weather=Sunny, Battery=94%, Data=Pending
Line 2: Temp=28°C, Humidity=71%, Weather=Windy, Battery=91%, Data=Pending
Line 3: Temp=27°C, Humidity=74%, Weather=Rainy, Battery=88%, Data=Completed
Line 4: Temp=26°C, Humidity=69%, Weather=Sunny, Battery=87%, Data=Pending
Line 5: Temp=29°C, Humidity=70%, Weather=Rainy, Battery=85%, Data=Partial
Line 6: Temp=27°C, Humidity=73%, Weather=Cloudy, Battery=82%, Data=Completed
Line 7: Temp=28°C, Humidity=73%, Weather=Foggy, Battery=84%, Data=Partial
Line 8: Temp=27°C, Humidity=76%, Weather=Cloudy, Battery=95%, Data=Partial
Line 9: Temp=25°C, Humidity=67%, Weather=Rainy, Battery=82%, Data=Pending
Line 10: Temp=26°C, Humidity=77%, Weather=Cloudy, Battery=95%, Data=Completed
Line 11: Temp=25°C, Humidity=75%, Weather=Sunny, Battery=84%, Data=Completed
Line 12: Temp=28°C, Humidity=73%, Weather=Sunny, Battery=91%, Data=Partial
Line 13: Temp=29°C, Humidity=74%, Weather=Cloudy, Battery=94%, Data=Pending
Line 14: Temp=27°C, Humidity=74%, Weather=Foggy, Battery=93%, Data=Completed
Line 15: Temp=28°C, Humidity=70%, Weather=Cloudy, Battery=81%, Data=Completed
Line 16: Temp=27°C, Humidity=74%, Weather=Sunny, Battery=95%, Data=Completed
Line 17: Temp=28°C, Humidity=69%, Weather=Rainy, Battery=96%, Data=Completed
Line 18: Temp=26°C, Humidity=74%, Weather=Windy, Battery=80%, Data=Partial
Line 19: Temp=27°C, Humidity=77%, Weather=Rainy, Battery=83%, Data=Pending
Line 20: Temp=28°C, Humidity=67%, Weather=Sunny, Battery=89%, Data=Completed
Line 21: Temp=28°C, Humidity=69%, Weather=Foggy, Battery=95%, Data=Completed
Line 22: Temp=28°C, Humidity=71%, Weather=Rainy, Battery=85%, Data=Pending
Line 23: Temp=27°C, Humidity=67%, Weather=Rainy, Battery=81%, Data=Partial
Line 24: Temp=26°C, Humidity=72%, Weather=Rainy, Battery=85%, Data=Pending
Line 25: Temp=29°C, Humidity=71%, Weather=Windy, Battery=83%, Data=Completed
Line 26: Temp=26°C, Humidity=76%, Weather=Foggy, Battery=99%, Data=Partial
Line 27: Temp=29°C, Humidity=73%, Weather=Foggy, Battery=93%, Data=Completed
Line 28: Temp=28°C, Humidity=74%, Weather=Windy, Battery=82%, Data=Partial
Line 29: Temp=27°C, Humidity=70%, Weather=Sunny, Battery=84%, Data=Pending
Line 30: Temp=29°C, Humidity=77%, Weather=Rainy, Battery=85%, Data=Partial
Line 31: Temp=28°C, Humidity=71%, Weather=Sunny, Battery=83%, Data=Partial
Line 32: Temp=27°C, Humidity=75%, Weather=Foggy, Battery=84%, Data=Pending
Line 33: Temp=28°C, Humidity=74%, Weather=Windy, Battery=90%, Data=Pending
Line 34: Temp=28°C, Humidity=77%, Weather=Foggy, Battery=96%, Data=Completed
Line 35: Temp=26°C, Humidity=76%, Weather=Cloudy, Battery=91%, Data=Completed
Line 36: Temp=29°C, Humidity=75%, Weather=Rainy, Battery=82%, Data=Partial
Line 37: Temp=29°C, Humidity=67%, Weather=Rainy, Battery=97%, Data=Pending
Line 38: Temp=25°C, Humidity=73%, Weather=Foggy, Battery=81%, Data=Pending
Line 39: Temp=29°C, Humidity=72%, Weather=Sunny, Battery=83%, Data=Partial
Line 40: Temp=26°C, Humidity=69%, Weather=Rainy, Battery=93%, Data=Completed
Line 41: Temp=26°C, Humidity=67%, Weather=Rainy, Battery=100%, Data=Partial
Line 42: Temp=29°C, Humidity=71%, Weather=Sunny, Battery=80%, Data=Partial
Line 43: Temp=25°C, Humidity=73%, Weather=Cloudy, Battery=93%, Data=Completed
Line 44: Temp=26°C, Humidity=67%, Weather=Foggy, Battery=100%, Data=Partial
Line 45: Temp=25°C, Humidity=68%, Weather=Foggy, Battery=95%, Data=Completed
Line 46: Temp=26°C, Humidity=77%, Weather=Rainy, Battery=81%, Data=Partial
Line 47: Temp=28°C, Humidity=74%, Weather=Foggy, Battery=85%, Data=Partial
Line 48: Temp=27°C, Humidity=72%, Weather=Windy, Battery=92%, Data=Partial
Line 49: Temp=28°C, Humidity=70%, Weather=Cloudy, Battery=87%, Data=Partial
Line 50: Temp=25°C, Humidity=76%, Weather=Cloudy, Battery=95%, Data=Partial
Line 51: Temp=26°C, Humidity=76%, Weather=Cloudy, Battery=89%, Data=Pending
Line 52: Temp=25°C, Humidity=70%, Weather=Sunny, Battery=100%, Data=Completed
Line 53: Temp=27°C, Humidity=72%, Weather=Cloudy, Battery=87%, Data=Pending
Line 54: Temp=25°C, Humidity=76%, Weather=Rainy, Battery=96%, Data=Pending
Line 55: Temp=25°C, Humidity=69%, Weather=Sunny, Battery=91%, Data=Completed
Line 56: Temp=29°C, Humidity=71%, Weather=Rainy, Battery=99%, Data=Partial
Line 57: Temp=25°C, Humidity=72%, Weather=Foggy, Battery=80%, Data=Pending
Line 58: Temp=28°C, Humidity=68%, Weather=Windy, Battery=82%, Data=Pending
Line 59: Temp=29°C, Humidity=72%, Weather=Foggy, Battery=89%, Data=Partial
Line 60: Temp=29°C, Humidity=77%, Weather=Rainy, Battery=87%, Data=Pending
Line 61: Temp=27°C, Humidity=75%, Weather=Cloudy, Battery=83%, Data=Completed
Line 62: Temp=27°C, Humidity=67%, Weather=Windy, Battery=95%, Data=Pending
Line 63: Temp=26°C, Humidity=70%, Weather=Cloudy, Battery=95%, Data=Completed
Line 64: Temp=26°C, Humidity=67%, Weather=Sunny, Battery=85%, Data=Partial
Line 65: Temp=25°C, Humidity=68%, Weather=Windy, Battery=83%, Data=Partial
Line 66: Temp=25°C, Humidity=68%, Weather=Sunny, Battery=100%, Data=Partial
Line 67: Temp=28°C, Humidity=73%, Weather=Windy, Battery=86%, Data=Completed
Line 68: Temp=26°C, Humidity=75%, Weather=Rainy, Battery=97%, Data=Pending
Line 69: Temp=28°C, Humidity=72%, Weather=Cloudy, Battery=95%, Data=Pending
Line 70: Temp=29°C, Humidity=76%, Weather=Cloudy, Battery=91%, Data=Pending
Line 71: Temp=29°C, Humidity=77%, Weather=Cloudy, Battery=88%, Data=Partial
Line 72: Temp=26°C, Humidity=76%, Weather=Sunny, Battery=85%, Data=Pending
Line 73: Temp=28°C, Humidity=71%, Weather=Cloudy, Battery=94%, Data=Partial
Line 74: Temp=27°C, Humidity=73%, Weather=Rainy, Battery=93%, Data=Pending
Line 75: Temp=25°C, Humidity=73%, Weather=Rainy, Battery=91%, Data=Partial
Line 76: Temp=25°C, Humidity=77%, Weather=Cloudy, Battery=96%, Data=Pending
Line 77: Temp=28°C, Humidity=72%, Weather=Windy, Battery=96%, Data=Pending
Line 78: Temp=28°C, Humidity=68%, Weather=Rainy, Battery=80%, Data=Pending
Line 79: Temp=27°C, Humidity=74%, Weather=Windy, Battery=81%, Data=Pending
Line 80: Temp=26°C, Humidity=67%, Weather=Cloudy, Battery=87%, Data=Completed
Line 81: Temp=28°C, Humidity=73%, Weather=Windy, Battery=82%, Data=Completed
Line 82: Temp=26°C, Humidity=69%, Weather=Sunny, Battery=94%, Data=Pending
Line 83: Temp=28°C, Humidity=74%, Weather=Windy, Battery=91%, Data=Completed
Line 84: Temp=29°C, Humidity=69%, Weather=Sunny, Battery=96%, Data=Pending
