Parameter,Value
Param_1,511
Param_2,648
Param_3,621
Param_4,767
Param_5,870
Param_6,172
Param_7,18
Param_8,808
Param_9,958
Param_10,743
Param_11,242
Param_12,11
Param_13,761
Param_14,266
Param_15,628
Param_16,680
Param_17,225
Param_18,769
Param_19,981
Param_20,820
Param_21,327
Param_22,374
Param_23,435
Param_24,73
Param_25,102
Param_26,333
Param_27,33
Param_28,800
Param_29,993
Param_30,479
Param_31,185
Param_32,443
Param_33,549
Param_34,758
Param_35,191
Param_36,977
Param_37,249
Param_38,255
Param_39,436
Param_40,877
Param_41,276
Param_42,386
Param_43,549
Param_44,642
Param_45,131
Param_46,726
Param_47,933
Param_48,258
Param_49,901
Param_50,787
Param_51,622
Param_52,22
Param_53,941
Param_54,259
Param_55,225
Param_56,760
Param_57,235
Param_58,760
Param_59,809
Param_60,7
Param_61,774
Param_62,377
Param_63,573
Param_64,336
Param_65,513
Param_66,657
Param_67,882
Param_68,843
Param_69,691
Param_70,565
Param_71,666
Param_72,174
Param_73,739
Param_74,88
Param_75,94
Param_76,913
Param_77,144
Param_78,400
Param_79,229
Param_80,319
Param_81,184
Param_82,359
Param_83,940
Param_84,124
Param_85,277
Param_86,298
Param_87,985
Param_88,510
Param_89,55
Param_90,267
Param_91,896
Param_92,652
Param_93,956
Param_94,919
Param_95,169
Param_96,211
Param_97,204
Param_98,784
Param_99,364
Param_100,740
