Site: Kanpur
Date: 2025-10-05
Coordinates: -87.582385, -5.114566
Line 1: Temp=31°C, Humidity=73%, Weather=Sunny, Battery=89%, Data=Completed
Line 2: Temp=27°C, Humidity=78%, Weather=Sunny, Battery=84%, Data=Partial
Line 3: Temp=27°C, Humidity=73%, Weather=Foggy, Battery=93%, Data=Partial
Line 4: Temp=28°C, Humidity=71%, Weather=Cloudy, Battery=82%, Data=Completed
Line 5: Temp=29°C, Humidity=77%, Weather=Cloudy, Battery=89%, Data=Partial
Line 6: Temp=31°C, Humidity=76%, Weather=Sunny, Battery=92%, Data=Partial
Line 7: Temp=29°C, Humidity=77%, Weather=Windy, Battery=95%, Data=Completed
Line 8: Temp=28°C, Humidity=78%, Weather=Cloudy, Battery=99%, Data=Partial
Line 9: Temp=27°C, Humidity=70%, Weather=Foggy, Battery=98%, Data=Completed
Line 10: Temp=28°C, Humidity=74%, Weather=Rainy, Battery=83%, Data=Completed
Line 11: Temp=30°C, Humidity=79%, Weather=Rainy, Battery=84%, Data=Completed
Line 12: Temp=30°C, Humidity=79%, Weather=Windy, Battery=92%, Data=Pending
Line 13: Temp=31°C, Humidity=78%, Weather=Rainy, Battery=84%, Data=Partial
Line 14: Temp=31°C, Humidity=74%, Weather=Sunny, Battery=82%, Data=Completed
Line 15: Temp=30°C, Humidity=77%, Weather=Cloudy, Battery=90%, Data=Pending
Line 16: Temp=31°C, Humidity=79%, Weather=Rainy, Battery=90%, Data=Completed
Line 17: Temp=29°C, Humidity=70%, Weather=Sunny, Battery=100%, Data=Completed
Line 18: Temp=30°C, Humidity=70%, Weather=Foggy, Battery=97%, Data=Pending
Line 19: Temp=31°C, Humidity=77%, Weather=Windy, Battery=80%, Data=Completed
Line 20: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=98%, Data=Completed
Line 21: Temp=28°C, Humidity=77%, Weather=Foggy, Battery=81%, Data=Pending
Line 22: Temp=30°C, Humidity=72%, Weather=Windy, Battery=95%, Data=Partial
Line 23: Temp=29°C, Humidity=78%, Weather=Foggy, Battery=80%, Data=Partial
Line 24: Temp=30°C, Humidity=72%, Weather=Windy, Battery=86%, Data=Completed
Line 25: Temp=30°C, Humidity=77%, Weather=Windy, Battery=93%, Data=Partial
Line 26: Temp=27°C, Humidity=75%, Weather=Rainy, Battery=93%, Data=Completed
Line 27: Temp=28°C, Humidity=74%, Weather=Sunny, Battery=96%, Data=Partial
Line 28: Temp=29°C, Humidity=75%, Weather=Windy, Battery=80%, Data=Partial
Line 29: Temp=28°C, Humidity=78%, Weather=Windy, Battery=87%, Data=Partial
Line 30: Temp=31°C, Humidity=78%, Weather=Rainy, Battery=81%, Data=Completed
Line 31: Temp=27°C, Humidity=73%, Weather=Foggy, Battery=99%, Data=Completed
Line 32: Temp=27°C, Humidity=76%, Weather=Cloudy, Battery=98%, Data=Completed
Line 33: Temp=30°C, Humidity=78%, Weather=Rainy, Battery=94%, Data=Completed
Line 34: Temp=28°C, Humidity=74%, Weather=Sunny, Battery=97%, Data=Partial
Line 35: Temp=31°C, Humidity=78%, Weather=Rainy, Battery=82%, Data=Completed
Line 36: Temp=29°C, Humidity=76%, Weather=Cloudy, Battery=99%, Data=Pending
Line 37: Temp=27°C, Humidity=75%, Weather=Foggy, Battery=90%, Data=Partial
Line 38: Temp=28°C, Humidity=72%, Weather=Foggy, Battery=86%, Data=Pending
Line 39: Temp=29°C, Humidity=79%, Weather=Rainy, Battery=92%, Data=Partial
Line 40: Temp=29°C, Humidity=72%, Weather=Rainy, Battery=85%, Data=Partial
Line 41: Temp=28°C, Humidity=74%, Weather=Rainy, Battery=88%, Data=Completed
Line 42: Temp=28°C, Humidity=77%, Weather=Sunny, Battery=86%, Data=Pending
Line 43: Temp=31°C, Humidity=77%, Weather=Windy, Battery=100%, Data=Pending
Line 44: Temp=30°C, Humidity=76%, Weather=Sunny, Battery=92%, Data=Pending
