Parameter,Value
Param_1,860
Param_2,674
Param_3,638
Param_4,946
Param_5,46
Param_6,44
Param_7,90
Param_8,707
Param_9,556
Param_10,85
Param_11,910
Param_12,289
Param_13,637
Param_14,80
Param_15,895
Param_16,766
Param_17,335
Param_18,888
Param_19,863
Param_20,150
Param_21,480
Param_22,902
Param_23,204
Param_24,685
Param_25,465
Param_26,554
Param_27,465
Param_28,113
Param_29,249
Param_30,791
Param_31,629
Param_32,566
Param_33,156
Param_34,751
Param_35,106
Param_36,146
Param_37,688
Param_38,134
Param_39,219
Param_40,606
Param_41,625
Param_42,67
Param_43,683
Param_44,971
Param_45,697
Param_46,978
Param_47,319
Param_48,993
Param_49,849
Param_50,87
Param_51,624
Param_52,41
Param_53,852
Param_54,851
Param_55,196
Param_56,205
Param_57,787
Param_58,959
Param_59,922
Param_60,534
Param_61,871
Param_62,801
Param_63,709
Param_64,78
Param_65,317
Param_66,882
Param_67,815
Param_68,890
Param_69,600
Param_70,270
Param_71,633
Param_72,694
Param_73,385
Param_74,229
Param_75,685
Param_76,608
Param_77,513
Param_78,345
Param_79,166
Param_80,296
Param_81,119
Param_82,573
Param_83,109
Param_84,296
Param_85,918
Param_86,506
Param_87,282
Param_88,126
Param_89,816
Param_90,929
Param_91,908
Param_92,558
Param_93,780
Param_94,561
Param_95,397
Param_96,242
Param_97,758
Param_98,241
Param_99,850
Param_100,814
