Site: Kathmandu
Date: 2025-10-01
Coordinates: 14.154856, -71.809418
Line 1: Temp=25°C, Humidity=67%, Weather=Sunny, Battery=98%, Data=Pending
Line 2: Temp=27°C, Humidity=66%, Weather=Sunny, Battery=99%, Data=Partial
Line 3: Temp=25°C, Humidity=67%, Weather=Cloudy, Battery=95%, Data=Completed
Line 4: Temp=24°C, Humidity=68%, Weather=Rainy, Battery=86%, Data=Pending
Line 5: Temp=25°C, Humidity=74%, Weather=Rainy, Battery=88%, Data=Pending
Line 6: Temp=26°C, Humidity=70%, Weather=Foggy, Battery=92%, Data=Pending
Line 7: Temp=24°C, Humidity=69%, Weather=Cloudy, Battery=84%, Data=Pending
Line 8: Temp=26°C, Humidity=73%, Weather=Rainy, Battery=100%, Data=Partial
Line 9: Temp=23°C, Humidity=74%, Weather=Rainy, Battery=92%, Data=Completed
Line 10: Temp=27°C, Humidity=74%, Weather=Sunny, Battery=87%, Data=Pending
Line 11: Temp=26°C, Humidity=74%, Weather=Sunny, Battery=88%, Data=Partial
Line 12: Temp=24°C, Humidity=66%, Weather=Sunny, Battery=99%, Data=Partial
Line 13: Temp=27°C, Humidity=69%, Weather=Foggy, Battery=84%, Data=Partial
Line 14: Temp=25°C, Humidity=75%, Weather=Sunny, Battery=94%, Data=Completed
Line 15: Temp=25°C, Humidity=72%, Weather=Windy, Battery=97%, Data=Pending
Line 16: Temp=26°C, Humidity=75%, Weather=Foggy, Battery=81%, Data=Partial
Line 17: Temp=23°C, Humidity=72%, Weather=Windy, Battery=96%, Data=Pending
Line 18: Temp=26°C, Humidity=74%, Weather=Sunny, Battery=99%, Data=Pending
Line 19: Temp=25°C, Humidity=66%, Weather=Windy, Battery=89%, Data=Partial
Line 20: Temp=23°C, Humidity=69%, Weather=Rainy, Battery=80%, Data=Partial
Line 21: Temp=27°C, Humidity=68%, Weather=Windy, Battery=82%, Data=Pending
Line 22: Temp=27°C, Humidity=71%, Weather=Rainy, Battery=89%, Data=Pending
Line 23: Temp=26°C, Humidity=71%, Weather=Foggy, Battery=81%, Data=Completed
Line 24: Temp=23°C, Humidity=73%, Weather=Foggy, Battery=89%, Data=Partial
Line 25: Temp=26°C, Humidity=74%, Weather=Rainy, Battery=87%, Data=Completed
Line 26: Temp=26°C, Humidity=75%, Weather=Rainy, Battery=81%, Data=Pending
Line 27: Temp=26°C, Humidity=68%, Weather=Rainy, Battery=96%, Data=Partial
Line 28: Temp=25°C, Humidity=66%, Weather=Rainy, Battery=97%, Data=Completed
Line 29: Temp=23°C, Humidity=74%, Weather=Cloudy, Battery=86%, Data=Pending
Line 30: Temp=25°C, Humidity=74%, Weather=Foggy, Battery=93%, Data=Completed
Line 31: Temp=27°C, Humidity=74%, Weather=Windy, Battery=82%, Data=Partial
Line 32: Temp=25°C, Humidity=67%, Weather=Foggy, Battery=93%, Data=Pending
Line 33: Temp=27°C, Humidity=66%, Weather=Windy, Battery=93%, Data=Completed
Line 34: Temp=25°C, Humidity=71%, Weather=Foggy, Battery=90%, Data=Partial
Line 35: Temp=23°C, Humidity=69%, Weather=Cloudy, Battery=100%, Data=Pending
Line 36: Temp=23°C, Humidity=66%, Weather=Cloudy, Battery=81%, Data=Pending
Line 37: Temp=24°C, Humidity=74%, Weather=Rainy, Battery=95%, Data=Pending
