Parameter,Value
Param_1,605
Param_2,23
Param_3,381
Param_4,700
Param_5,472
Param_6,674
Param_7,293
Param_8,400
Param_9,757
Param_10,327
Param_11,184
Param_12,752
Param_13,696
Param_14,367
Param_15,232
Param_16,101
Param_17,609
Param_18,788
Param_19,932
Param_20,365
Param_21,565
Param_22,604
Param_23,299
Param_24,618
Param_25,79
Param_26,223
Param_27,202
Param_28,860
Param_29,563
Param_30,183
Param_31,129
Param_32,792
Param_33,831
Param_34,619
Param_35,337
Param_36,346
Param_37,429
Param_38,823
Param_39,316
Param_40,218
Param_41,848
Param_42,619
Param_43,460
Param_44,85
Param_45,446
Param_46,8
Param_47,521
Param_48,649
Param_49,485
Param_50,352
Param_51,224
Param_52,110
Param_53,565
Param_54,990
Param_55,35
Param_56,527
Param_57,132
Param_58,969
Param_59,315
Param_60,303
Param_61,985
Param_62,927
Param_63,28
Param_64,531
Param_65,572
Param_66,348
Param_67,717
Param_68,546
Param_69,373
Param_70,965
Param_71,601
Param_72,94
Param_73,314
Param_74,683
Param_75,204
Param_76,211
Param_77,382
Param_78,920
Param_79,405
Param_80,408
Param_81,133
Param_82,293
Param_83,330
Param_84,79
Param_85,7
Param_86,441
Param_87,54
Param_88,832
Param_89,786
Param_90,8
Param_91,678
Param_92,90
Param_93,980
Param_94,664
Param_95,835
Param_96,490
Param_97,760
Param_98,971
Param_99,363
Param_100,672
