Parameter,Value
Param_1,309
Param_2,33
Param_3,273
Param_4,64
Param_5,556
Param_6,501
Param_7,855
Param_8,99
Param_9,444
Param_10,590
Param_11,35
Param_12,174
Param_13,35
Param_14,275
Param_15,665
Param_16,677
Param_17,412
Param_18,403
Param_19,205
Param_20,298
Param_21,641
Param_22,147
Param_23,80
Param_24,857
Param_25,289
Param_26,40
Param_27,706
Param_28,103
Param_29,489
Param_30,699
Param_31,837
Param_32,771
Param_33,889
Param_34,503
Param_35,467
Param_36,705
Param_37,240
Param_38,400
Param_39,218
Param_40,460
Param_41,585
Param_42,648
Param_43,253
Param_44,896
Param_45,913
Param_46,323
Param_47,128
Param_48,433
Param_49,377
Param_50,877
Param_51,136
Param_52,772
Param_53,831
Param_54,100
Param_55,939
Param_56,374
Param_57,628
Param_58,408
Param_59,29
Param_60,782
Param_61,972
Param_62,497
Param_63,495
Param_64,316
Param_65,484
Param_66,61
Param_67,546
Param_68,417
Param_69,379
Param_70,698
Param_71,757
Param_72,421
Param_73,944
Param_74,521
Param_75,626
Param_76,673
Param_77,995
Param_78,833
Param_79,136
Param_80,490
Param_81,821
Param_82,239
Param_83,682
Param_84,609
Param_85,606
Param_86,838
Param_87,54
Param_88,417
Param_89,476
Param_90,385
Param_91,4
Param_92,297
Param_93,49
Param_94,538
Param_95,45
Param_96,909
Param_97,209
Param_98,78
Param_99,173
Param_100,704
