Parameter,Value
Param_1,172
Param_2,517
Param_3,160
Param_4,185
Param_5,320
Param_6,244
Param_7,291
Param_8,925
Param_9,248
Param_10,267
Param_11,600
Param_12,521
Param_13,742
Param_14,802
Param_15,980
Param_16,411
Param_17,729
Param_18,937
Param_19,847
Param_20,806
Param_21,977
Param_22,681
Param_23,833
Param_24,87
Param_25,419
Param_26,292
Param_27,321
Param_28,475
Param_29,843
Param_30,82
Param_31,733
Param_32,892
Param_33,934
Param_34,257
Param_35,627
Param_36,588
Param_37,906
Param_38,320
Param_39,394
Param_40,550
Param_41,160
Param_42,722
Param_43,870
Param_44,673
Param_45,366
Param_46,101
Param_47,767
Param_48,534
Param_49,79
Param_50,618
Param_51,83
Param_52,262
Param_53,583
Param_54,851
Param_55,812
Param_56,669
Param_57,887
Param_58,662
Param_59,34
Param_60,509
Param_61,88
Param_62,479
Param_63,488
Param_64,225
Param_65,523
Param_66,770
Param_67,519
Param_68,194
Param_69,956
Param_70,961
Param_71,453
Param_72,759
Param_73,769
Param_74,863
Param_75,373
Param_76,140
Param_77,504
Param_78,863
Param_79,394
Param_80,697
Param_81,772
Param_82,573
Param_83,919
Param_84,358
Param_85,718
Param_86,682
Param_87,992
Param_88,345
Param_89,966
Param_90,177
Param_91,904
Param_92,802
Param_93,458
Param_94,473
Param_95,324
Param_96,966
Param_97,530
Param_98,86
Param_99,311
Param_100,690
