Site: Kolkata
Date: 2025-10-02
Coordinates: 16.37998, 126.295422
Line 1: Temp=28°C, Humidity=72%, Weather=Sunny, Battery=98%, Data=Pending
Line 2: Temp=24°C, Humidity=76%, Weather=Windy, Battery=92%, Data=Completed
Line 3: Temp=27°C, Humidity=75%, Weather=Sunny, Battery=85%, Data=Completed
Line 4: Temp=25°C, Humidity=69%, Weather=Rainy, Battery=91%, Data=Completed
Line 5: Temp=27°C, Humidity=76%, Weather=Foggy, Battery=95%, Data=Partial
Line 6: Temp=27°C, Humidity=70%, Weather=Rainy, Battery=89%, Data=Pending
Line 7: Temp=27°C, Humidity=68%, Weather=Sunny, Battery=94%, Data=Completed
Line 8: Temp=27°C, Humidity=76%, Weather=Sunny, Battery=91%, Data=Pending
Line 9: Temp=25°C, Humidity=70%, Weather=Cloudy, Battery=93%, Data=Partial
Line 10: Temp=28°C, Humidity=76%, Weather=Foggy, Battery=91%, Data=Completed
Line 11: Temp=25°C, Humidity=71%, Weather=Sunny, Battery=93%, Data=Partial
Line 12: Temp=24°C, Humidity=71%, Weather=Foggy, Battery=86%, Data=Completed
Line 13: Temp=28°C, Humidity=68%, Weather=Sunny, Battery=85%, Data=Pending
Line 14: Temp=26°C, Humidity=76%, Weather=Sunny, Battery=94%, Data=Completed
Line 15: Temp=26°C, Humidity=72%, Weather=Sunny, Battery=94%, Data=Pending
Line 16: Temp=27°C, Humidity=76%, Weather=Rainy, Battery=99%, Data=Partial
Line 17: Temp=27°C, Humidity=67%, Weather=Rainy, Battery=93%, Data=Pending
Line 18: Temp=28°C, Humidity=67%, Weather=Foggy, Battery=93%, Data=Pending
Line 19: Temp=25°C, Humidity=71%, Weather=Sunny, Battery=99%, Data=Completed
Line 20: Temp=25°C, Humidity=70%, Weather=Foggy, Battery=90%, Data=Pending
Line 21: Temp=28°C, Humidity=76%, Weather=Cloudy, Battery=84%, Data=Completed
Line 22: Temp=24°C, Humidity=73%, Weather=Windy, Battery=93%, Data=Partial
Line 23: Temp=27°C, Humidity=66%, Weather=Sunny, Battery=82%, Data=Partial
Line 24: Temp=25°C, Humidity=74%, Weather=Cloudy, Battery=92%, Data=Partial
Line 25: Temp=24°C, Humidity=69%, Weather=Sunny, Battery=85%, Data=Partial
Line 26: Temp=27°C, Humidity=67%, Weather=Sunny, Battery=90%, Data=Pending
Line 27: Temp=28°C, Humidity=75%, Weather=Sunny, Battery=84%, Data=Pending
Line 28: Temp=25°C, Humidity=74%, Weather=Cloudy, Battery=80%, Data=Partial
Line 29: Temp=27°C, Humidity=75%, Weather=Cloudy, Battery=94%, Data=Completed
Line 30: Temp=28°C, Humidity=73%, Weather=Sunny, Battery=91%, Data=Completed
Line 31: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=95%, Data=Completed
Line 32: Temp=25°C, Humidity=68%, Weather=Foggy, Battery=83%, Data=Completed
Line 33: Temp=24°C, Humidity=72%, Weather=Sunny, Battery=90%, Data=Partial
Line 34: Temp=25°C, Humidity=66%, Weather=Sunny, Battery=84%, Data=Completed
Line 35: Temp=25°C, Humidity=70%, Weather=Rainy, Battery=87%, Data=Completed
Line 36: Temp=24°C, Humidity=67%, Weather=Foggy, Battery=93%, Data=Partial
Line 37: Temp=24°C, Humidity=66%, Weather=Cloudy, Battery=86%, Data=Pending
Line 38: Temp=24°C, Humidity=67%, Weather=Foggy, Battery=88%, Data=Partial
Line 39: Temp=28°C, Humidity=75%, Weather=Windy, Battery=97%, Data=Pending
Line 40: Temp=25°C, Humidity=71%, Weather=Rainy, Battery=96%, Data=Completed
Line 41: Temp=25°C, Humidity=68%, Weather=Foggy, Battery=99%, Data=Completed
Line 42: Temp=26°C, Humidity=66%, Weather=Rainy, Battery=89%, Data=Partial
Line 43: Temp=28°C, Humidity=67%, Weather=Foggy, Battery=89%, Data=Partial
Line 44: Temp=28°C, Humidity=75%, Weather=Cloudy, Battery=83%, Data=Partial
Line 45: Temp=28°C, Humidity=74%, Weather=Cloudy, Battery=84%, Data=Completed
Line 46: Temp=27°C, Humidity=76%, Weather=Sunny, Battery=97%, Data=Completed
Line 47: Temp=28°C, Humidity=76%, Weather=Sunny, Battery=100%, Data=Partial
Line 48: Temp=28°C, Humidity=68%, Weather=Cloudy, Battery=98%, Data=Completed
Line 49: Temp=24°C, Humidity=70%, Weather=Rainy, Battery=95%, Data=Pending
Line 50: Temp=24°C, Humidity=70%, Weather=Rainy, Battery=99%, Data=Completed
Line 51: Temp=28°C, Humidity=74%, Weather=Cloudy, Battery=89%, Data=Partial
Line 52: Temp=26°C, Humidity=68%, Weather=Windy, Battery=87%, Data=Completed
Line 53: Temp=24°C, Humidity=76%, Weather=Sunny, Battery=85%, Data=Completed
Line 54: Temp=25°C, Humidity=72%, Weather=Rainy, Battery=91%, Data=Pending
Line 55: Temp=26°C, Humidity=74%, Weather=Rainy, Battery=99%, Data=Partial
Line 56: Temp=25°C, Humidity=69%, Weather=Windy, Battery=93%, Data=Partial
Line 57: Temp=28°C, Humidity=74%, Weather=Foggy, Battery=82%, Data=Completed
Line 58: Temp=24°C, Humidity=67%, Weather=Sunny, Battery=98%, Data=Pending
Line 59: Temp=26°C, Humidity=69%, Weather=Foggy, Battery=82%, Data=Pending
Line 60: Temp=28°C, Humidity=71%, Weather=Rainy, Battery=94%, Data=Partial
