Parameter,Value
Param_1,719
Param_2,146
Param_3,58
Param_4,882
Param_5,59
Param_6,356
Param_7,782
Param_8,854
Param_9,632
Param_10,819
Param_11,41
Param_12,34
Param_13,594
Param_14,870
Param_15,538
Param_16,18
Param_17,761
Param_18,929
Param_19,579
Param_20,687
Param_21,280
Param_22,492
Param_23,672
Param_24,647
Param_25,930
Param_26,445
Param_27,820
Param_28,995
Param_29,658
Param_30,163
Param_31,520
Param_32,483
Param_33,637
Param_34,454
Param_35,300
Param_36,215
Param_37,858
Param_38,933
Param_39,862
Param_40,105
Param_41,907
Param_42,941
Param_43,535
Param_44,46
Param_45,579
Param_46,478
Param_47,122
Param_48,695
Param_49,604
Param_50,275
Param_51,555
Param_52,868
Param_53,344
Param_54,718
Param_55,117
Param_56,619
Param_57,46
Param_58,163
Param_59,974
Param_60,94
Param_61,335
Param_62,421
Param_63,973
Param_64,448
Param_65,261
Param_66,94
Param_67,958
Param_68,215
Param_69,894
Param_70,852
Param_71,113
Param_72,600
Param_73,469
Param_74,479
Param_75,993
Param_76,909
Param_77,973
Param_78,544
Param_79,50
Param_80,80
Param_81,36
Param_82,681
Param_83,811
Param_84,197
Param_85,308
Param_86,587
Param_87,51
Param_88,40
Param_89,504
Param_90,655
Param_91,239
Param_92,813
Param_93,625
Param_94,946
Param_95,313
Param_96,4
Param_97,207
Param_98,988
Param_99,681
Param_100,50
