Parameter,Value
Param_1,406
Param_2,652
Param_3,32
Param_4,945
Param_5,515
Param_6,155
Param_7,42
Param_8,214
Param_9,396
Param_10,162
Param_11,379
Param_12,246
Param_13,530
Param_14,819
Param_15,178
Param_16,14
Param_17,20
Param_18,145
Param_19,328
Param_20,394
Param_21,651
Param_22,556
Param_23,367
Param_24,672
Param_25,274
Param_26,691
Param_27,695
Param_28,939
Param_29,141
Param_30,767
Param_31,245
Param_32,415
Param_33,705
Param_34,304
Param_35,156
Param_36,689
Param_37,590
Param_38,793
Param_39,381
Param_40,201
Param_41,43
Param_42,585
Param_43,196
Param_44,879
Param_45,530
Param_46,55
Param_47,269
Param_48,148
Param_49,217
Param_50,808
Param_51,649
Param_52,521
Param_53,253
Param_54,717
Param_55,969
Param_56,146
Param_57,51
Param_58,676
Param_59,358
Param_60,339
Param_61,371
Param_62,432
Param_63,703
Param_64,107
Param_65,473
Param_66,652
Param_67,816
Param_68,763
Param_69,440
Param_70,403
Param_71,918
Param_72,922
Param_73,239
Param_74,20
Param_75,369
Param_76,368
Param_77,196
Param_78,558
Param_79,305
Param_80,949
Param_81,294
Param_82,165
Param_83,927
Param_84,175
Param_85,538
Param_86,690
Param_87,261
Param_88,236
Param_89,489
Param_90,981
Param_91,82
Param_92,999
Param_93,597
Param_94,113
Param_95,779
Param_96,880
Param_97,950
Param_98,631
Param_99,836
Param_100,583
