Parameter,Value
Param_1,50
Param_2,848
Param_3,942
Param_4,338
Param_5,865
Param_6,114
Param_7,702
Param_8,226
Param_9,665
Param_10,107
Param_11,191
Param_12,535
Param_13,600
Param_14,854
Param_15,736
Param_16,569
Param_17,541
Param_18,40
Param_19,632
Param_20,489
Param_21,706
Param_22,939
Param_23,914
Param_24,914
Param_25,483
Param_26,1
Param_27,937
Param_28,574
Param_29,220
Param_30,598
Param_31,458
Param_32,421
Param_33,628
Param_34,89
Param_35,345
Param_36,922
Param_37,333
Param_38,32
Param_39,588
Param_40,936
Param_41,962
Param_42,940
Param_43,648
Param_44,651
Param_45,835
Param_46,852
Param_47,611
Param_48,335
Param_49,523
Param_50,337
Param_51,686
Param_52,963
Param_53,540
Param_54,969
Param_55,889
Param_56,510
Param_57,177
Param_58,612
Param_59,460
Param_60,885
Param_61,98
Param_62,584
Param_63,445
Param_64,881
Param_65,484
Param_66,886
Param_67,499
Param_68,284
Param_69,834
Param_70,229
Param_71,347
Param_72,406
Param_73,435
Param_74,809
Param_75,209
Param_76,383
Param_77,55
Param_78,470
Param_79,798
Param_80,653
Param_81,20
Param_82,284
Param_83,503
Param_84,758
Param_85,596
Param_86,502
Param_87,372
Param_88,164
Param_89,757
Param_90,875
Param_91,405
Param_92,460
Param_93,727
Param_94,368
Param_95,964
Param_96,731
Param_97,305
Param_98,677
Param_99,806
Param_100,155
