Parameter,Value
Param_1,586
Param_2,165
Param_3,695
Param_4,872
Param_5,583
Param_6,32
Param_7,940
Param_8,648
Param_9,482
Param_10,77
Param_11,440
Param_12,928
Param_13,366
Param_14,691
Param_15,546
Param_16,644
Param_17,738
Param_18,397
Param_19,445
Param_20,141
Param_21,15
Param_22,197
Param_23,332
Param_24,939
Param_25,287
Param_26,383
Param_27,160
Param_28,997
Param_29,986
Param_30,401
Param_31,337
Param_32,981
Param_33,246
Param_34,572
Param_35,928
Param_36,139
Param_37,525
Param_38,639
Param_39,759
Param_40,759
Param_41,337
Param_42,756
Param_43,791
Param_44,352
Param_45,89
Param_46,406
Param_47,605
Param_48,470
Param_49,949
Param_50,602
Param_51,323
Param_52,538
Param_53,497
Param_54,151
Param_55,625
Param_56,852
Param_57,608
Param_58,806
Param_59,291
Param_60,463
Param_61,598
Param_62,926
Param_63,138
Param_64,91
Param_65,512
Param_66,880
Param_67,522
Param_68,36
Param_69,134
Param_70,863
Param_71,482
Param_72,641
Param_73,960
Param_74,980
Param_75,321
Param_76,368
Param_77,647
Param_78,611
Param_79,639
Param_80,435
Param_81,718
Param_82,591
Param_83,484
Param_84,816
Param_85,4
Param_86,314
Param_87,284
Param_88,67
Param_89,685
Param_90,594
Param_91,63
Param_92,743
Param_93,549
Param_94,545
Param_95,388
Param_96,740
Param_97,226
Param_98,105
Param_99,358
Param_100,129
