Parameter,Value
Param_1,692
Param_2,181
Param_3,198
Param_4,961
Param_5,603
Param_6,257
Param_7,812
Param_8,305
Param_9,278
Param_10,878
Param_11,622
Param_12,986
Param_13,603
Param_14,4
Param_15,965
Param_16,312
Param_17,349
Param_18,545
Param_19,96
Param_20,800
Param_21,915
Param_22,963
Param_23,480
Param_24,968
Param_25,824
Param_26,95
Param_27,362
Param_28,879
Param_29,830
Param_30,413
Param_31,938
Param_32,273
Param_33,855
Param_34,183
Param_35,911
Param_36,846
Param_37,365
Param_38,842
Param_39,441
Param_40,274
Param_41,420
Param_42,480
Param_43,509
Param_44,893
Param_45,676
Param_46,691
Param_47,365
Param_48,610
Param_49,368
Param_50,357
Param_51,218
Param_52,340
Param_53,331
Param_54,581
Param_55,262
Param_56,569
Param_57,835
Param_58,199
Param_59,694
Param_60,197
Param_61,79
Param_62,437
Param_63,68
Param_64,111
Param_65,711
Param_66,523
Param_67,106
Param_68,100
Param_69,241
Param_70,87
Param_71,879
Param_72,873
Param_73,611
Param_74,133
Param_75,942
Param_76,125
Param_77,707
Param_78,609
Param_79,28
Param_80,15
Param_81,857
Param_82,381
Param_83,919
Param_84,368
Param_85,35
Param_86,276
Param_87,754
Param_88,848
Param_89,358
Param_90,356
Param_91,88
Param_92,370
Param_93,652
Param_94,504
Param_95,234
Param_96,499
Param_97,556
Param_98,237
Param_99,905
Param_100,308
