Parameter,Value
Param_1,674
Param_2,491
Param_3,334
Param_4,783
Param_5,158
Param_6,450
Param_7,528
Param_8,769
Param_9,698
Param_10,875
Param_11,777
Param_12,237
Param_13,130
Param_14,597
Param_15,209
Param_16,630
Param_17,295
Param_18,494
Param_19,419
Param_20,643
Param_21,410
Param_22,25
Param_23,32
Param_24,689
Param_25,804
Param_26,775
Param_27,952
Param_28,132
Param_29,221
Param_30,481
Param_31,569
Param_32,635
Param_33,939
Param_34,131
Param_35,62
Param_36,998
Param_37,436
Param_38,281
Param_39,190
Param_40,694
Param_41,826
Param_42,195
Param_43,847
Param_44,56
Param_45,166
Param_46,943
Param_47,850
Param_48,347
Param_49,57
Param_50,566
Param_51,834
Param_52,944
Param_53,30
Param_54,581
Param_55,380
Param_56,408
Param_57,794
Param_58,12
Param_59,247
Param_60,820
Param_61,585
Param_62,586
Param_63,723
Param_64,562
Param_65,528
Param_66,942
Param_67,156
Param_68,235
Param_69,572
Param_70,48
Param_71,603
Param_72,593
Param_73,26
Param_74,871
Param_75,860
Param_76,618
Param_77,848
Param_78,215
Param_79,92
Param_80,244
Param_81,60
Param_82,469
Param_83,779
Param_84,50
Param_85,634
Param_86,745
Param_87,176
Param_88,808
Param_89,740
Param_90,407
Param_91,215
Param_92,589
Param_93,38
Param_94,80
Param_95,83
Param_96,525
Param_97,993
Param_98,725
Param_99,696
Param_100,39
