Parameter,Value
Param_1,236
Param_2,259
Param_3,594
Param_4,824
Param_5,749
Param_6,689
Param_7,959
Param_8,364
Param_9,451
Param_10,953
Param_11,216
Param_12,666
Param_13,809
Param_14,23
Param_15,596
Param_16,311
Param_17,297
Param_18,605
Param_19,652
Param_20,411
Param_21,662
Param_22,917
Param_23,220
Param_24,10
Param_25,607
Param_26,118
Param_27,187
Param_28,849
Param_29,16
Param_30,206
Param_31,637
Param_32,840
Param_33,355
Param_34,579
Param_35,141
Param_36,280
Param_37,515
Param_38,693
Param_39,435
Param_40,574
Param_41,935
Param_42,811
Param_43,503
Param_44,515
Param_45,999
Param_46,708
Param_47,244
Param_48,147
Param_49,21
Param_50,116
Param_51,740
Param_52,534
Param_53,181
Param_54,178
Param_55,840
Param_56,501
Param_57,103
Param_58,581
Param_59,825
Param_60,29
Param_61,98
Param_62,58
Param_63,249
Param_64,555
Param_65,474
Param_66,954
Param_67,210
Param_68,530
Param_69,515
Param_70,968
Param_71,977
Param_72,921
Param_73,71
Param_74,288
Param_75,734
Param_76,579
Param_77,888
Param_78,262
Param_79,903
Param_80,673
Param_81,686
Param_82,843
Param_83,386
Param_84,310
Param_85,171
Param_86,219
Param_87,470
Param_88,416
Param_89,780
Param_90,855
Param_91,806
Param_92,639
Param_93,518
Param_94,98
Param_95,897
Param_96,69
Param_97,54
Param_98,105
Param_99,926
Param_100,354
