Parameter,Value
Param_1,57
Param_2,229
Param_3,72
Param_4,665
Param_5,666
Param_6,935
Param_7,664
Param_8,762
Param_9,211
Param_10,428
Param_11,563
Param_12,728
Param_13,195
Param_14,73
Param_15,717
Param_16,484
Param_17,283
Param_18,970
Param_19,949
Param_20,255
Param_21,51
Param_22,698
Param_23,304
Param_24,543
Param_25,660
Param_26,109
Param_27,346
Param_28,401
Param_29,576
Param_30,426
Param_31,304
Param_32,621
Param_33,535
Param_34,841
Param_35,568
Param_36,258
Param_37,790
Param_38,286
Param_39,670
Param_40,697
Param_41,795
Param_42,508
Param_43,141
Param_44,549
Param_45,59
Param_46,563
Param_47,3
Param_48,516
Param_49,340
Param_50,856
Param_51,134
Param_52,813
Param_53,294
Param_54,911
Param_55,848
Param_56,219
Param_57,744
Param_58,6
Param_59,888
Param_60,594
Param_61,921
Param_62,456
Param_63,792
Param_64,60
Param_65,270
Param_66,324
Param_67,755
Param_68,955
Param_69,120
Param_70,721
Param_71,658
Param_72,525
Param_73,387
Param_74,980
Param_75,713
Param_76,115
Param_77,523
Param_78,425
Param_79,344
Param_80,300
Param_81,515
Param_82,844
Param_83,364
Param_84,820
Param_85,323
Param_86,231
Param_87,148
Param_88,295
Param_89,245
Param_90,68
Param_91,231
Param_92,645
Param_93,354
Param_94,625
Param_95,502
Param_96,409
Param_97,441
Param_98,463
Param_99,705
Param_100,828
