Parameter,Value
Param_1,962
Param_2,785
Param_3,337
Param_4,270
Param_5,612
Param_6,685
Param_7,834
Param_8,670
Param_9,696
Param_10,300
Param_11,907
Param_12,278
Param_13,401
Param_14,196
Param_15,810
Param_16,758
Param_17,970
Param_18,16
Param_19,321
Param_20,312
Param_21,628
Param_22,402
Param_23,202
Param_24,833
Param_25,407
Param_26,103
Param_27,611
Param_28,566
Param_29,996
Param_30,363
Param_31,157
Param_32,969
Param_33,363
Param_34,874
Param_35,349
Param_36,921
Param_37,733
Param_38,822
Param_39,206
Param_40,379
Param_41,114
Param_42,653
Param_43,468
Param_44,172
Param_45,687
Param_46,53
Param_47,232
Param_48,730
Param_49,499
Param_50,416
Param_51,689
Param_52,768
Param_53,692
Param_54,220
Param_55,327
Param_56,216
Param_57,471
Param_58,854
Param_59,24
Param_60,236
Param_61,9
Param_62,626
Param_63,252
Param_64,165
Param_65,512
Param_66,75
Param_67,321
Param_68,162
Param_69,253
Param_70,421
Param_71,157
Param_72,121
Param_73,335
Param_74,988
Param_75,243
Param_76,0
Param_77,426
Param_78,850
Param_79,508
Param_80,268
Param_81,57
Param_82,883
Param_83,537
Param_84,91
Param_85,97
Param_86,490
Param_87,82
Param_88,632
Param_89,855
Param_90,730
Param_91,708
Param_92,283
Param_93,301
Param_94,58
Param_95,570
Param_96,563
Param_97,978
Param_98,521
Param_99,690
Param_100,500
