Site: Lisbon
Date: 2025-10-30
Coordinates: -87.101632, -43.682576
Line 1: Temp=29°C, Humidity=74%, Weather=Foggy, Battery=81%, Data=Partial
Line 2: Temp=27°C, Humidity=74%, Weather=Rainy, Battery=89%, Data=Partial
Line 3: Temp=28°C, Humidity=84%, Weather=Windy, Battery=82%, Data=Pending
Line 4: Temp=29°C, Humidity=74%, Weather=Foggy, Battery=82%, Data=Pending
Line 5: Temp=30°C, Humidity=79%, Weather=Windy, Battery=94%, Data=Partial
Line 6: Temp=30°C, Humidity=78%, Weather=Sunny, Battery=85%, Data=Pending
Line 7: Temp=29°C, Humidity=83%, Weather=Windy, Battery=93%, Data=Completed
Line 8: Temp=30°C, Humidity=81%, Weather=Cloudy, Battery=80%, Data=Completed
Line 9: Temp=30°C, Humidity=75%, Weather=Cloudy, Battery=96%, Data=Partial
Line 10: Temp=30°C, Humidity=75%, Weather=Windy, Battery=84%, Data=Partial
Line 11: Temp=29°C, Humidity=80%, Weather=Sunny, Battery=81%, Data=Pending
Line 12: Temp=30°C, Humidity=84%, Weather=Rainy, Battery=90%, Data=Partial
Line 13: Temp=27°C, Humidity=79%, Weather=Sunny, Battery=87%, Data=Pending
Line 14: Temp=30°C, Humidity=82%, Weather=Sunny, Battery=99%, Data=Completed
Line 15: Temp=27°C, Humidity=81%, Weather=Rainy, Battery=97%, Data=Completed
Line 16: Temp=27°C, Humidity=83%, Weather=Windy, Battery=100%, Data=Pending
Line 17: Temp=28°C, Humidity=77%, Weather=Foggy, Battery=87%, Data=Pending
Line 18: Temp=27°C, Humidity=75%, Weather=Sunny, Battery=99%, Data=Partial
Line 19: Temp=28°C, Humidity=82%, Weather=Foggy, Battery=84%, Data=Pending
Line 20: Temp=27°C, Humidity=79%, Weather=Rainy, Battery=98%, Data=Completed
Line 21: Temp=30°C, Humidity=82%, Weather=Rainy, Battery=88%, Data=Pending
Line 22: Temp=28°C, Humidity=82%, Weather=Windy, Battery=83%, Data=Partial
Line 23: Temp=31°C, Humidity=79%, Weather=Rainy, Battery=82%, Data=Pending
Line 24: Temp=28°C, Humidity=79%, Weather=Foggy, Battery=89%, Data=Pending
Line 25: Temp=31°C, Humidity=80%, Weather=Sunny, Battery=93%, Data=Completed
