Parameter,Value
Param_1,326
Param_2,192
Param_3,619
Param_4,782
Param_5,588
Param_6,943
Param_7,860
Param_8,306
Param_9,251
Param_10,779
Param_11,323
Param_12,723
Param_13,749
Param_14,948
Param_15,590
Param_16,81
Param_17,88
Param_18,75
Param_19,134
Param_20,795
Param_21,96
Param_22,461
Param_23,923
Param_24,819
Param_25,155
Param_26,858
Param_27,833
Param_28,486
Param_29,118
Param_30,89
Param_31,632
Param_32,926
Param_33,774
Param_34,134
Param_35,818
Param_36,994
Param_37,344
Param_38,642
Param_39,743
Param_40,28
Param_41,343
Param_42,639
Param_43,657
Param_44,437
Param_45,215
Param_46,855
Param_47,426
Param_48,152
Param_49,292
Param_50,834
Param_51,444
Param_52,586
Param_53,365
Param_54,41
Param_55,542
Param_56,406
Param_57,628
Param_58,1
Param_59,740
Param_60,983
Param_61,845
Param_62,791
Param_63,794
Param_64,274
Param_65,668
Param_66,236
Param_67,142
Param_68,402
Param_69,567
Param_70,114
Param_71,177
Param_72,740
Param_73,236
Param_74,0
Param_75,920
Param_76,703
Param_77,647
Param_78,416
Param_79,970
Param_80,107
Param_81,950
Param_82,812
Param_83,447
Param_84,426
Param_85,366
Param_86,449
Param_87,844
Param_88,506
Param_89,603
Param_90,73
Param_91,191
Param_92,456
Param_93,531
Param_94,538
Param_95,633
Param_96,225
Param_97,470
Param_98,944
Param_99,905
Param_100,984
