Parameter,Value
Param_1,393
Param_2,690
Param_3,900
Param_4,861
Param_5,611
Param_6,317
Param_7,716
Param_8,806
Param_9,448
Param_10,382
Param_11,231
Param_12,324
Param_13,434
Param_14,338
Param_15,980
Param_16,869
Param_17,606
Param_18,890
Param_19,519
Param_20,387
Param_21,611
Param_22,939
Param_23,95
Param_24,312
Param_25,839
Param_26,639
Param_27,985
Param_28,229
Param_29,259
Param_30,423
Param_31,583
Param_32,566
Param_33,232
Param_34,876
Param_35,385
Param_36,780
Param_37,607
Param_38,378
Param_39,139
Param_40,833
Param_41,872
Param_42,225
Param_43,930
Param_44,150
Param_45,38
Param_46,989
Param_47,924
Param_48,608
Param_49,504
Param_50,734
Param_51,638
Param_52,113
Param_53,49
Param_54,384
Param_55,782
Param_56,404
Param_57,804
Param_58,183
Param_59,824
Param_60,797
Param_61,515
Param_62,180
Param_63,205
Param_64,909
Param_65,885
Param_66,886
Param_67,628
Param_68,473
Param_69,864
Param_70,430
Param_71,517
Param_72,609
Param_73,853
Param_74,852
Param_75,894
Param_76,465
Param_77,874
Param_78,249
Param_79,217
Param_80,5
Param_81,115
Param_82,122
Param_83,405
Param_84,573
Param_85,865
Param_86,158
Param_87,367
Param_88,992
Param_89,460
Param_90,961
Param_91,415
Param_92,138
Param_93,456
Param_94,573
Param_95,668
Param_96,306
Param_97,396
Param_98,581
Param_99,178
Param_100,439
